year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,1779,11875,114,7420,1665,4455,-24921,-42925,-8436,-9065,-451,-2356,-16034,-31504
2021,1779,7942,112,4722,1667,3220,36789,64714,8816,9864,2149,11300,25824,43550
2022,2800,11282,240,7562,2560,3720,24356,40781,-1818,-1909,1224,5013,24950,37677
2023,6322,8221,61,4826,6261,3395,19759,26967,3893,1336,1266,6983,14600,18648
2024,5698,10492,10,6500,5688,3992,13258,19327,1703,1,700,4318,10855,15008
2025,4894,11963,30,8586,4864,3377,8347,15666,82,263,693,4166,7572,11237
2026,6156,14011,107,9824,6049,4187,6950,13700,407,809,702,3383,5841,9508
2027,6680,13157,97,9599,6583,3558,6963,13028,639,785,595,2253,5729,9990
2028,6157,13812,106,10291,6051,3521,6689,13044,833,1003,-118,1182,5974,10859
2029,6061,14240,99,9338,5962,4902,10089,16057,1696,1473,-182,2180,8575,12404
2030,4972,13416,84,9473,4888,3943,5400,10031,2590,1899,-283,981,3093,7151
2031,6947,14084,146,8873,6801,5211,3041,8252,138,628,-300,1142,3203,6482
2032,6105,15497,85,10005,6020,5492,5998,11054,1532,1792,-283,1515,4749,7747
2033,5740,16641,202,12698,5538,3943,5351,9948,1644,1793,-349,949,4056,7206
2034,5118,17302,165,12512,4953,4790,7800,14548,1714,2185,-246,1537,6332,10826
2035,4891,15384,73,11532,4818,3852,5586,11304,1678,2206,-408,-424,4316,9522
2036,4674,17053,109,11054,4565,5999,6914,13458,1626,2073,-456,29,5744,11356
2037,6518,16151,257,13314,6261,2837,7013,14684,2046,2459,-686,166,5653,12059
2038,6077,15752,154,14063,5923,1689,7203,12914,1353,1719,-617,172,6467,11023
2039,5104,17587,55,15664,5049,1923,6933,13176,1766,2038,-565,24,5732,11114
2040,3300,14790,119,12342,3181,2448,8830,12210,1572,1896,-346,-466,7604,10780
2041,5641,19572,236,17921,5405,1651,6311,13380,1903,2621,-477,-168,4885,10927
2042,5955,17535,155,13912,5800,3623,7366,13445,1899,2225,-400,853,5867,10367
2043,4813,12231,393,10785,4420,1446,6962,14036,2246,2577,-390,688,5106,10771
2044,4767,11702,282,10462,4485,1240,6526,15252,1985,2662,-472,884,5013,11706
2045,3568,14608,43,11853,3525,2755,7207,14334,2553,2703,-217,632,4871,10999
2046,4268,35135,23,34188,4245,947,6053,15049,1294,3464,-454,589,5213,10996
2047,3347,5888,0,5206,3347,682,6385,13707,1899,3660,-376,-106,4862,10153
2048,2225,10937,0,8679,2225,2258,6950,12754,2634,3303,-193,-391,4509,9842
2049,1858,6610,24,5362,1834,1248,6949,12435,2491,2976,-261,-466,4719,9925
2050,1535,6417,3,5628,1532,789,6736,10708,2144,2308,-228,-874,4820,9274
