year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,2467,11167,5636129,37599727,192,1569,-8436,-9068,-636,-2173,-16137,-31369,-25209,-42610
2021,1733,8208,4383003,25550344,201,1236,8949,9731,1861,11587,25044,44330,35854,65648
2022,1423,12980,3698280,42522671,186,1501,-1838,-1888,1304,4933,24661,37957,24127,41002
2023,5270,8756,13920472,28629260,380,785,3838,1381,1258,6990,13509,19689,18605,28060
2024,5983,10018,17300415,35974001,332,1247,1548,156,502,4516,10883,14980,12933,19652
2025,4653,12359,12743887,44147329,314,1586,19,325,1039,3820,7944,10865,9002,15010
2026,6608,13446,18877968,49673541,374,1766,447,769,929,3156,6173,9176,7549,13101
2027,6221,13826,17961532,48877969,409,1644,665,759,737,2111,5919,9800,7321,12670
2028,7035,13621,20340211,50555093,442,1699,878,958,-672,1736,6081,10752,6287,13446
2029,6165,13980,18080927,50097732,447,1668,1594,1575,58,1940,8148,12831,9800,16346
2030,4861,13422,12871808,48464930,322,1596,2604,1885,-55,753,3262,6982,5811,9620
2031,6448,14491,18935830,49422782,387,1337,277,489,74,768,3234,6451,3585,7708
2032,6298,15144,17897243,53591280,453,1951,1636,1688,-167,1399,4338,8158,5807,11245
2033,6740,15675,19633583,55878110,415,1940,1533,1904,-291,891,3765,7497,5007,10292
2034,5939,16417,17331175,59956155,472,2340,1903,1996,-456,1747,6030,11128,7477,14871
2035,5197,14882,14509270,51187497,318,2046,1885,1999,-416,-416,3985,9853,5454,11436
2036,4748,17569,13762669,62033052,332,2436,1839,1860,-372,-55,5532,11568,6999,13373
2037,5966,15847,16861458,60265174,361,2479,2193,2312,-623,103,5295,12417,6865,14832
2038,6048,15837,18259498,61054670,367,2752,1602,1470,-390,-55,6761,10729,7973,12144
2039,5770,16261,16423433,61534377,367,2438,1713,2091,-611,70,6760,10086,7862,12247
2040,4284,14379,12211273,59110148,283,2283,1393,2075,-343,-469,6619,11765,7669,13371
2041,4774,20098,13881140,80098065,324,3799,1988,2536,-694,49,5377,10435,6671,13020
2042,6094,18065,19091485,66218794,280,2747,1752,2372,-207,660,5357,10877,6902,13909
2043,4991,13851,15421561,46723536,300,3045,2065,2758,-334,632,4996,10881,6727,14271
2044,4207,12114,12350779,40135606,279,3075,1884,2763,-488,900,5292,11427,6688,15090
2045,3944,13845,11584061,48662975,229,2990,1579,3677,-223,638,5601,10269,6957,14584
2046,3786,36991,11218883,145581194,236,6261,1274,3484,-396,531,4323,11886,5201,15901
2047,3882,5358,10994263,16321353,162,1534,1681,3878,-412,-70,3924,11091,5193,14899
2048,2819,9274,7111580,31773518,133,1790,1893,4044,-237,-347,4777,9574,6433,13271
2049,1840,6152,5182287,18933067,117,1466,2016,3451,-475,-252,4198,10446,5739,13645
2050,1878,6354,5107936,19631252,127,1619,1479,2973,-185,-917,4244,9850,5538,11906
