year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,1226,12202,89,7399,1137,4803,-25171,-42624,-8373,-9126,-460,-2346,-16338,-31152
2021,2230,7784,191,5127,2039,2657,35626,65877,8724,9957,1918,11530,24984,44390
2022,2332,11895,128,7736,2204,4159,23736,41389,-1933,-1792,821,5416,24848,37765
2023,5707,8516,73,5118,5634,3398,19832,26832,3990,1231,1313,6935,14529,18666
2024,5846,10470,68,6561,5778,3909,13964,18621,1705,-1,705,4313,11554,14309
2025,5031,11776,37,8105,4994,3671,9093,14920,116,229,931,3928,8046,10763
2026,7266,12938,78,9202,7188,3736,6492,14158,430,786,685,3400,5377,9972
2027,5683,14026,51,11080,5632,2946,7304,12687,709,715,833,2015,5762,9957
2028,5607,14397,170,9196,5437,5201,6503,13230,866,970,-116,1180,5753,11080
2029,6201,14690,68,9119,6133,5571,9198,16948,1643,1526,-165,2163,7720,13259
2030,5005,13131,85,9648,4920,3483,5446,9985,2528,1961,-96,794,3014,7230
2031,6675,15161,211,8951,6464,6210,3094,8199,238,528,-315,1157,3171,6514
2032,7139,14167,97,9931,7042,4236,5760,11292,1706,1618,-413,1645,4467,8029
2033,5986,15949,155,11276,5831,4673,4712,10587,1658,1779,-597,1197,3651,7611
2034,5636,17446,247,12233,5389,5213,8255,14093,1969,1930,-241,1532,6527,10631
2035,4046,15765,139,11959,3907,3806,5687,11203,1871,2013,-340,-492,4156,9682
2036,5345,16177,159,13215,5186,2962,6383,13989,1575,2124,-379,-48,5187,11913
2037,6704,15491,167,13692,6537,1799,6772,14925,1807,2698,-287,-233,5252,12460
2038,6322,14900,116,13054,6206,1846,6770,13347,1010,2062,-403,-42,6163,11327
2039,5769,15904,199,13674,5570,2230,6444,13665,1493,2311,-433,-108,5384,11462
2040,4142,14532,198,12966,3944,1566,7637,13403,1411,2057,-266,-546,6492,11892
2041,5946,19530,285,17658,5661,1872,5226,14465,1912,2612,-551,-94,3865,11947
2042,6898,18009,219,13540,6679,4469,5524,15287,1708,2416,-357,810,4173,12061
2043,4227,15310,221,13496,4006,1814,5279,15719,1992,2831,-238,536,3525,12352
2044,3997,12364,197,11470,3800,894,6488,15290,1973,2674,-338,750,4853,11866
2045,3332,14067,85,12014,3247,2053,7039,14502,2427,2829,-125,540,4737,11133
2046,4194,36221,9,34954,4185,1267,6010,15092,1130,3628,-415,550,5295,10914
2047,3702,6997,11,6153,3691,844,5677,14415,1786,3773,-421,-61,4312,10703
2048,1628,10452,2,8094,1626,2358,7489,12215,2503,3434,-191,-393,5177,9174
2049,2225,6442,1,5267,2224,1175,7065,12319,2355,3112,-317,-410,5027,9617
2050,1794,6149,5,5429,1789,720,5774,11670,1508,2944,-249,-853,4515,9579
