year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,1516,11980,81,7715,1435,4265,-25096,-42699,-8403,-9096,-518,-2288,-16175,-31315
2021,2096,7722,119,5086,1977,2636,35585,65917,9012,9669,1741,11707,24832,44541
2022,2966,11418,175,8209,2791,3209,22831,42293,-1913,-1812,1423,4814,23321,39291
2023,6359,7965,3,3900,6356,4065,18513,28151,3829,1393,1032,7216,13652,19542
2024,5174,10778,19,7273,5155,3505,13793,18792,1786,-82,642,4376,11365,14498
2025,4468,12685,65,8733,4403,3952,8697,15317,126,220,976,3884,7595,11213
2026,6152,14458,91,8740,6061,5718,7607,13043,473,743,933,3152,6201,9148
2027,6113,13360,60,9875,6053,3485,7216,12775,675,749,636,2212,5905,9814
2028,5557,14378,96,9867,5461,4511,7344,12389,1016,820,-24,1088,6352,10481
2029,6007,14475,108,8936,5899,5539,9476,16670,1558,1611,174,1824,7744,13235
2030,4656,13691,178,9578,4478,4113,5406,10025,2413,2076,4,694,2989,7255
2031,6392,14841,145,8783,6247,6058,3035,8258,256,510,-370,1212,3149,6536
2032,5889,15349,138,9954,5751,5395,6139,10913,1631,1693,-248,1480,4756,7740
2033,6122,16346,122,12915,6000,3431,4998,10301,1556,1881,-315,915,3757,7505
2034,5256,17829,194,11234,5062,6595,7380,14968,1801,2098,-478,1769,6057,11101
2035,4629,15338,50,11022,4579,4316,5279,11611,1812,2072,-317,-515,3784,10054
2036,5803,15149,247,11388,5556,3761,6585,13787,1377,2322,-318,-109,5526,11574
2037,5464,16122,75,14332,5389,1790,6017,15680,1650,2855,-480,-40,4847,12865
2038,5721,16626,140,14135,5581,2491,6445,13672,1026,2046,-472,27,5891,11599
2039,5039,17558,134,16093,4905,1465,6022,14087,1104,2700,-601,60,5519,11327
2040,4309,14927,113,13707,4196,1220,8072,12968,1127,2341,-211,-601,7156,11228
2041,6167,18737,467,17059,5700,1678,5526,14165,1282,3242,-552,-93,4796,11016
2042,6416,17039,203,12775,6213,4264,6729,14082,1009,3115,-143,596,5863,10371
2043,4692,16023,353,14623,4339,1400,7744,13254,1917,2906,-367,665,6194,9683
2044,4779,11920,237,10333,4542,1587,7591,14187,1578,3069,-472,884,6485,10234
2045,4236,13136,78,10382,4158,2754,7522,14019,1933,3323,-191,606,5780,10090
2046,3868,36680,35,35324,3833,1356,6904,14198,1676,3082,-436,571,5664,10545
2047,4114,7089,1,5972,4113,1117,6150,13942,1591,3968,-364,-118,4923,10092
2048,2159,10480,1,8120,2158,2360,7652,12052,2459,3478,-252,-332,5445,8906
2049,2249,5961,28,5123,2221,838,6134,13250,1898,3569,-293,-434,4529,10115
2050,1477,6287,24,5632,1453,655,6179,11265,1720,2732,-284,-818,4743,9351
