year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,2050,11389,63,7427,1987,3962,-25494,-42301,-8317,-9182,-1234,-1572,-15943,-31547
2021,1900,7823,134,4764,1766,3059,35358,66146,8751,9930,1910,11538,24697,44678
2022,2536,11770,191,7868,2345,3902,26279,38855,-1677,-2047,1517,4720,26439,36182
2023,6233,8127,67,4268,6166,3859,19521,27143,4105,1114,1164,7083,14252,18946
2024,5204,10926,6,7406,5198,3520,13651,18934,1822,-118,506,4512,11323,14540
2025,5114,12343,44,8533,5070,3810,8288,15725,50,295,826,4033,7412,11397
2026,5716,14130,34,9766,5682,4364,7509,13141,471,745,620,3465,6418,8931
2027,7211,12932,38,9501,7173,3431,6592,13399,616,808,373,2475,5603,10116
2028,5274,14682,100,8523,5174,6159,6852,12881,984,852,-145,1209,6013,10820
2029,6163,14269,99,9841,6064,4428,9023,17123,1612,1557,-196,2194,7607,13372
2030,4530,14099,5,10647,4525,3452,5076,10355,2446,2043,-98,796,2728,7516
2031,6303,14556,150,8771,6153,5785,3484,7809,271,495,-138,980,3351,6334
2032,6486,15073,164,10019,6322,5054,5529,11523,1479,1845,-305,1537,4355,8141
2033,6726,15690,206,11909,6520,3781,5051,10248,1593,1844,-644,1244,4102,7160
2034,5381,17186,90,11061,5291,6125,8492,13856,1834,2065,-246,1537,6904,10254
2035,4731,14658,176,11801,4555,2857,6018,10872,1981,1903,-354,-478,4391,9447
2036,6431,15329,174,12726,6257,2603,7335,13037,1571,2128,-365,-62,6129,10971
2037,5883,15535,84,12320,5799,3215,7691,14006,2111,2394,-454,-66,6034,11678
2038,6316,15947,250,14063,6066,1884,7237,12880,1237,1835,-420,-25,6420,11070
2039,4712,17539,220,15485,4492,2054,7622,12487,1654,2150,-482,-59,6450,10396
2040,4258,14931,62,12836,4196,2095,8848,12192,1430,2038,-314,-498,7732,10652
2041,5435,19565,379,18176,5056,1389,6931,12760,1961,2563,-473,-172,5443,10369
2042,5783,18584,241,15146,5542,3438,7348,13463,1870,2254,-227,680,5705,10529
2043,4025,13894,220,12509,3805,1385,6896,14102,2078,2745,-236,534,5054,10823
2044,4419,12091,152,9225,4267,2866,4624,17154,1844,2803,-655,1067,3435,13284
2045,3898,15284,67,12294,3831,2990,7089,14452,2023,3233,-164,579,5230,10640
2046,3955,35760,78,34683,3877,1077,5729,15373,1653,3105,-472,607,4548,11661
2047,3374,6356,19,5604,3355,752,5560,14532,2161,3398,-488,6,3887,11128
2048,1792,10098,0,8080,1792,2018,7207,12497,2580,3357,-256,-328,4883,9468
2049,2401,5940,22,5028,2379,912,6267,13117,2274,3193,-339,-388,4332,10312
2050,1754,5953,20,5124,1734,829,5090,12354,1540,2912,-420,-682,3970,10124
