year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,1772,11787,102,7677,1670,4110,-24902,-42893,-8305,-9194,-444,-2362,-16153,-31337
2021,1875,7744,198,4498,1677,3246,35580,65923,8656,10024,1849,11599,25075,44300
2022,3042,11600,116,7217,2926,4383,23579,41561,-1820,-1903,1340,4897,24059,38567
2023,6427,7829,1,4098,6426,3731,19323,27403,3936,1295,931,7318,14456,18790
2024,5760,10132,27,6647,5733,3485,12658,19927,1586,118,482,4536,10590,15273
2025,4949,12341,59,9178,4890,3163,7776,16235,-52,396,934,3925,6894,11914
2026,5645,14180,139,8884,5506,5296,6532,14118,438,778,922,3163,5172,10177
2027,6280,13436,27,10300,6253,3136,6705,13286,583,841,536,2312,5586,10133
2028,6727,13341,127,9108,6600,4233,6361,13372,888,948,-152,1216,5625,11208
2029,5692,14535,108,9070,5584,5465,9273,16873,1550,1619,-209,2207,7932,13047
2030,4367,13986,66,10422,4301,3564,5330,10101,2363,2126,-132,830,3099,7145
2031,6754,14828,178,9251,6576,5577,3193,8100,217,549,-197,1039,3173,6512
2032,5651,15634,148,9848,5503,5786,5842,11210,1598,1726,-646,1878,4890,7606
2033,5910,15988,88,11508,5822,4480,4056,11243,1385,2052,-380,980,3051,8211
2034,7082,15584,266,10474,6816,5110,7076,15272,1729,2170,-596,1887,5943,11215
2035,4958,15114,110,12175,4848,2939,5015,11875,1743,2141,-1675,843,4947,8891
2036,5431,16927,108,13118,5323,3809,7514,12858,1591,2108,-404,-23,6327,10773
2037,6233,14917,54,12010,6179,2907,6989,14708,1678,2827,-488,-32,5799,11913
2038,6049,16485,181,14551,5868,1934,7353,12764,1182,1890,-430,-15,6601,10889
2039,5080,16904,165,15442,4915,1462,7660,12449,1737,2067,-668,127,6591,10255
2040,4459,14030,58,12717,4401,1313,8293,12747,1333,2135,-463,-349,7423,10961
2041,5562,19540,398,17975,5164,1565,7766,11925,1911,2613,-484,-161,6339,9473
2042,6275,17452,141,13039,6134,4413,6677,14134,1594,2530,-469,922,5552,10682
2043,4301,13480,265,11927,4036,1553,7784,13214,1927,2896,-264,562,6121,9756
2044,4761,11353,297,9976,4464,1377,7549,14229,1641,3006,-417,829,6325,10394
2045,3564,14438,124,12291,3440,2147,7204,14337,1981,3275,-99,514,5322,10548
2046,4224,36988,111,35541,4113,1447,6457,14645,1277,3481,-442,577,5622,10587
2047,3216,8886,24,7754,3192,1132,6205,13887,1850,3709,-558,76,4913,10102
2048,3066,9252,2,7257,3064,1995,6224,13480,1741,4196,-278,-306,4761,9590
2049,2401,5719,0,4673,2401,1046,6952,12432,1981,3486,-245,-482,5216,9428
2050,1348,6450,0,4528,1348,1922,7056,10388,1663,2789,-245,-857,5638,8456
