CENTER_NAME,parcel_acres,residential_units_2019,sf_units_2019,mf_units_2019,ind_jobs_2019,rtl_jobs_2019,off_jobs_2019,residential_units_2050,sf_units_2050,mf_units_2050,ind_jobs_2050,rtl_jobs_2050,off_jobs_2050
12600 South Mountain View Corridor,171.11000000000004,1,1,0,7,39,10,81,10,70,444,789,1771
21st and 21st,23.869999999999994,227,12,215,1,111,406,252,11,241,1,135,535
2300 East 3300 South,21.380000000000006,10,0,10,0,94,405,138,0,138,0,61,281
2600 South Center,117.35000000000007,269,1,268,14,1046,1413,754,0,754,1,1434,1455
2700 South Station,98.13999999999999,240,10,230,262,171,700,1272,1,1271,90,136,565
4100 South Redwood,19.69999999999998,0,0,0,3,235,691,7,0,7,2,349,826
4800 South Redwood,31.439999999999998,7,3,4,24,283,515,60,0,60,20,647,709
5400 South Redwood,163.32000000000005,429,0,429,2,1810,1896,1037,0,1037,1,2031,2550
7th Street Sandy Point,23.48999999999999,58,3,55,3,248,251,58,0,58,3,411,305
900 East Station,16.509999999999998,106,0,106,3,316,1066,106,0,106,1,286,1098
9th and 9th Center,15.409999999999993,43,16,27,0,153,286,75,15,60,0,193,326
Alta Canyon Park Center,87.08,0,0,0,50,509,1445,134,0,134,25,783,1395
Antelope & Main Town Center,87.85,153,0,153,0,447,2905,407,9,397,0,468,3396
BYU,419.96000000000004,5,3,2,0,6,16108,13,11,2,0,5,15157
Bacchus Highway Center,192.09,0,0,0,10,1,6,105,86,19,10,29,155
Ballpark,421.01000000000033,1749,324,1425,889,2784,6281,6221,18,6195,322,1296,4219
Bingham Junction,400.9100000000001,2469,200,2269,1522,1766,5216,3080,199,2881,1256,1629,5550
Bountiful 200 West,28.030000000000005,116,15,101,39,144,595,221,0,221,6,241,724
Bountiful 500 South,82.00000000000003,302,5,297,51,538,1491,799,0,799,15,515,1681
Bountiful Downtown,61.70999999999999,150,25,125,68,255,1924,526,4,522,30,232,1810
Business Depot Ogden,1615.3300000000006,42,34,0,1156,1168,3927,42,34,0,1067,1060,4165
Canyon Rim Center,27.19,0,0,0,0,647,259,314,0,314,0,226,275
Cascade Village,40.839999999999996,0,0,0,0,0,0,105,0,105,0,103,76
Centerville Downtown,251.3499999999997,727,117,610,34,2589,2932,2694,83,2610,5,1312,1568
Church & Hwy 193 Town Center,50.36000000000001,120,4,116,0,139,481,346,14,332,-1,102,467
Clinton Town Center,414.03999999999894,379,178,201,24,1731,2031,4033,110,3923,26,2316,3100
Cold Springs Center,79.80999999999999,0,0,0,0,0,0,524,0,524,4,336,466
Copperton Community Center,8.87,16,0,16,1,0,18,35,1,34,2,0,19
Cottonwood Heights Fort Union,116.30000000000007,288,21,267,92,617,1931,764,3,761,87,1122,2126
Cottonwood Village,18.570000000000004,76,0,76,7,161,185,177,0,177,1,155,625
Courthouse Downtown,36.18000000000001,115,46,69,4,5,1193,221,21,200,9,8,1031
Crossroads,522.1399999999993,178,113,65,33,595,299,178,113,65,49,746,1550
Daybreak,777.7799999999987,0,0,0,222,595,301,8513,0,7230,510,3747,25862
Decker Lake Center,70.6,425,0,425,0,46,884,902,0,902,0,53,1044
Downtown Clearfield,529.3300000000002,1708,156,1552,46,688,4242,4860,3,4854,10,1406,5871
Downtown Kaysville,210.67,553,27,526,40,950,2726,1202,4,1194,12,978,2661
Downtown Provo,1402.5600000000056,10412,1220,8381,908,6116,33920,15144,1157,12849,838,6336,46002
Downtown Riverton,248.76999999999995,742,58,684,57,497,1323,1829,8,1821,33,730,2189
Downtown South Salt Lake,175.43,319,28,291,523,2159,3624,1896,1,1894,260,1907,4743
Downtown Springville,349.09000000000117,647,231,384,17,871,3563,1289,282,975,17,936,3786
Draper City Center,238.0800000000001,199,81,118,88,1137,2819,2642,55,2587,28,1009,2673
Draper Kimballs Lane Station,81.0,362,54,308,0,39,74,517,41,476,0,33,95
Eagle Mountain,496.5599999999997,250,250,0,45,71,159,637,636,5,64,404,938
East Antelope Center,160.4999999999999,422,12,410,107,350,797,662,4,657,103,1141,3211
East Bay,393.9,0,0,0,306,116,1526,1687,0,1687,286,106,1634
East Gate Business Center,430.6000000000002,5,1,4,117,52,376,7,3,4,204,69,1403
East Park Lane,89.7,3,3,0,0,146,270,644,85,560,0,239,931
Fairbourne Station,160.14000000000007,631,24,607,42,1633,1897,1746,15,1731,25,1647,2240
Falcon Hill,494.0,0,0,0,0,4,4940,0,0,0,-13,4,10630
Farr West 2700 North,111.17000000000004,9,9,0,0,22,135,269,38,234,0,31,141
Fashion Place West,311.9599999999997,631,372,259,230,2809,1836,399,143,256,190,5105,3102
Fireclay Center,90.89000000000003,1290,2,1288,49,251,875,1724,0,1724,7,132,785
Five Points,316.03999999999985,881,85,796,66,1145,1542,1520,55,1449,56,1545,1975
Fore Lakes Center,225.9,1122,9,1113,7,63,534,1361,7,1354,8,258,499
Fort Union Canyon Center,17.159999999999997,60,19,41,0,93,121,76,19,57,1,164,208
Foxboro,57.14999999999999,266,2,264,7,103,1073,369,0,369,31,128,1305
Freeport Center,1296.809999999999,18,17,1,664,308,2521,17,16,1,738,562,3480
Gardner Village,34.13,280,0,280,5,136,377,396,0,396,4,117,317
Gateway Crossing,52.709999999999994,283,19,264,10,199,649,405,1,404,7,286,704
Gentile & Fairfield Town Center,68.59,502,7,495,20,190,403,637,5,631,8,146,307
Glendale Center,8.8,44,0,44,17,30,164,57,0,57,17,42,206
Gordon & Fairfield Town Center,65.64999999999999,53,21,32,0,95,355,254,12,242,0,95,325
Granary District,212.76999999999944,1088,133,955,337,1009,3995,5075,11,5064,63,465,3132
Harrisville US 89,167.25999999999993,325,16,309,0,0,14,722,15,707,0,0,3
Herriman Porter Rockwell Center,308.16999999999985,1,1,0,23,1,27,958,1,957,23,492,274
Herriman Town Center,368.8700000000011,2031,736,1295,137,989,717,3105,734,2371,174,1521,2052
Highberry Center,270.03000000000003,1276,3,1273,216,1506,2104,2918,30,2888,226,1712,2183
Highland,181.44,312,106,206,4,313,693,406,116,295,4,417,1153
Highlands Loop Center,181.27000000000004,831,0,831,5,448,218,979,51,928,9,963,1103
Highline,270.87999999999994,1174,0,1174,47,81,1362,2411,0,2411,88,113,2506
Hillcrest,447.63999999999925,2355,554,1794,3,1064,1867,2714,673,2034,3,1073,2123
Historic Magna Main Street,18.79,41,19,22,44,40,345,150,3,145,14,40,353
Historic Sandy Station,42.22999999999996,165,82,83,8,105,117,312,55,252,4,151,145
Holladay City Center,192.04999999999995,762,27,735,61,653,3200,1944,632,1926,30,949,4468
Holladay Crossroads,20.859999999999996,0,0,0,3,225,690,283,0,283,0,100,516
Hunter Town Center,69.16,48,22,26,0,372,260,538,6,532,0,549,203
Hwy 89 & Gordon Town Center,35.910000000000004,0,0,0,4,0,8,147,69,78,0,10,102
Independence,641.4099999999974,2368,1018,1350,410,212,1355,5067,1187,4048,271,587,1983
International Center,1470.1100000000001,0,0,0,3915,907,11658,0,0,0,3996,793,12825
Ivy Place Center,36.72,1,1,0,48,401,829,22,0,22,32,559,1073
Jordan Bluffs,246.85999999999987,581,0,581,0,0,0,3555,0,3555,184,510,1551
Jordan Landing,261.9099999999998,0,0,0,0,2976,2579,0,0,0,0,3935,3718
Jordan Valley,140.98000000000002,499,0,499,169,187,1242,1204,1,1203,168,338,1517
Kaysville Business Park,222.14999999999998,14,14,0,196,361,1757,254,7,246,119,1002,4068
Kearns Recreation Hub,163.14999999999998,0,0,0,0,182,434,0,0,0,0,163,461
Kearns Town Center,32.550000000000004,0,0,0,3,252,607,179,0,179,4,297,944
Kearns Warehouse District,101.88000000000001,0,0,0,157,49,78,0,0,0,284,400,418
Lake Park Center,536.7,0,0,0,91,92,9486,0,0,0,90,207,10494
Layton Downtown,214.37999999999994,808,47,761,33,636,1305,1698,32,1670,-15,1699,3032
Layton Industrial Center,347.2099999999999,3,3,0,1776,240,1081,189,189,0,1671,390,1500
Layton Midtown,834.9700000000034,3184,232,2952,51,6361,6071,10084,23,10060,12,7339,12156
Legacy Crossing,88.58,388,0,388,23,23,1254,751,0,751,14,30,1653
Legacy Gateway,476.86999999999983,92,15,77,68,75,118,3217,33,3183,355,362,701
Lehi Main Street,43.77,96,61,35,11,160,754,99,53,46,11,162,937
Lindon,721.3600000000005,0,0,0,654,494,1314,0,0,0,777,592,2177
Lone Peak Parkway Employment Center,678.3700000000002,58,29,29,1903,1605,7598,486,9,477,1284,3046,10369
Marketview Center,72.39999999999999,360,3,357,0,0,5,463,1,462,0,149,1022
Marmalade,156.09999999999997,2014,147,1867,266,326,1496,2674,57,2618,203,443,2180
Marriott-Slaterville Employment District,276.37000000000006,7,7,0,0,0,351,49,49,0,0,147,535
Meadowbrook Station,308.38,1578,24,1554,381,674,3618,4930,0,4930,181,381,4043
Meadows,433.93,234,37,197,82,3745,2441,479,109,370,89,3834,3817
Midvale Center Station,56.38999999999998,751,3,748,19,138,283,715,4,711,21,305,394
Midvale Fort Union Station,35.98,111,0,111,0,125,265,93,0,93,3,153,387
Midvale Main Street,84.29000000000003,240,166,74,73,136,900,800,16,782,46,343,1410
Millcreek 2300 East,2.08,0,0,0,0,0,43,2,0,2,0,0,31
Millcreek City Center,74.2200000000001,301,16,285,64,716,1922,627,1,626,43,448,2631
Millcreek Station,105.01000000000005,236,74,162,185,396,1527,364,5,358,138,754,2230
Millrock Employment Center,126.09000000000003,0,0,0,112,675,12207,0,0,0,87,1125,13599
Mountain View Village,448.1800000000002,69,14,55,37,584,106,1757,13,1744,73,2106,2916
Murray Downtown,711.7799999999972,1657,243,1414,729,1956,17345,8322,27,8295,288,1389,22440
Murray Industrial District,79.05999999999987,18,14,4,148,83,606,18,14,4,146,77,655
Murray Medical Park,95.04999999999983,60,26,34,24,1153,1455,58,17,41,21,1392,1851
Newgate Center,426.0500000000011,644,407,237,206,3444,6483,680,396,283,188,4032,8154
Non-center,706500.3900007164,711928,524768,186688,39490,91843,400437,1114525,834193,281518,51361,132141,615915
North Ogden Downtown,336.42,932,187,731,2,827,1054,1631,130,1472,2,1319,1826
North Ogden Southtown,158.32000000000002,139,21,118,8,165,483,818,4,812,12,266,994
North Park,124.32000000000004,0,0,0,0,1520,1190,0,0,0,0,1589,1468
North Salt Lake / Woods Cross Industrial District,1423.4599999999994,150,16,134,3015,488,3222,150,16,134,2970,516,3911
North Salt Lake Town Center,166.65000000000003,1368,42,1326,44,123,417,2277,8,2268,8,403,642
North Shore,14.15,1,1,0,0,0,0,83,1,82,0,0,0
North Station,241.82,5,5,0,3,1,4,2179,103,2080,9,517,2074
North Temple Center,465.59000000000043,2089,85,2004,923,819,5373,5171,5,5166,1163,756,7562
Oakwood Village Center,128.09999999999997,810,2,808,45,600,3140,1004,0,1004,24,561,3007
Ogden 12th Street,167.55999999999995,452,50,402,6,1135,1712,615,39,574,6,1218,1837
Ogden Airport Industrial District,1107.7399999999998,58,43,12,2132,544,2953,59,44,12,2019,505,3172
Ogden Downtown,564.4500000000014,3332,462,2691,316,2705,17247,5176,387,4599,323,2898,21474
Ogden Harrison Boulevard North,116.80000000000003,669,16,653,10,182,2218,728,22,704,8,174,2308
Ogden Harrison Boulevard South,173.83999999999997,430,7,423,7,550,6080,583,3,577,6,483,6864
Ogden-Hinckley Airport Center,596.68,0,0,0,57,22,49,0,0,0,52,21,104
Old Mill,262.34,0,0,0,25,4,3,1919,0,1919,11,141,368
Olympia Hills,882.77,1,1,0,0,0,0,6337,6334,6333,4,71,3106
Olympus Hills Center,23.43,0,0,0,4,300,343,159,0,159,0,394,606
Oquirrh View Center,35.370000000000005,155,0,155,0,0,32,197,38,159,0,0,38
Orchard Drive 2200 South,22.29,163,0,163,22,215,539,290,0,290,3,149,479
Orem-1600 North,91.09,215,112,103,7,285,596,221,111,110,7,269,603
Orem-800 North,156.1900000000002,622,37,585,126,582,1619,721,41,680,132,601,1772
Orem-Center Street,206.98000000000022,902,99,803,29,1102,2686,1331,226,1105,19,676,1769
Pages Lane Center,57.51000000000001,551,107,444,28,82,601,620,107,513,7,54,542
Parleys Foothill Center,21.59,0,0,0,0,247,859,109,0,109,0,193,559
Payson Industrial,319.8400000000004,4,4,0,569,129,119,4,4,0,642,162,287
Payson Main Street,214.81000000000012,390,190,198,48,743,784,625,268,355,65,968,1247
Plain City Gateway,46.96000000000001,1,1,0,0,0,0,175,0,174,0,2,12
Plain City Market Center,11.07,0,0,0,9,141,179,8,0,8,9,150,190
Pleasant Green,98.91999999999999,396,129,267,19,572,580,1822,41,1779,1,369,371
Pleasant Grove,283.4500000000006,1057,1,1038,114,488,1558,1057,1,1038,113,461,1579
Pleasant View 2700 North,435.61,531,20,499,197,216,1188,1356,12,1332,260,425,2022
Pleasant View Employment Center,455.91999999999996,4,4,0,8,46,137,4,4,0,29,281,696
Pleasant View Industrial Center,537.5200000000001,18,0,0,1133,34,400,18,0,0,1086,30,553
Porter Rockwell,593.3400000000001,0,0,0,47,0,47,1663,0,1663,8,342,713
Provo Airport,936.28,0,0,0,116,16,165,0,0,0,1,26,889
Quarry Bend Center,157.13,764,0,764,0,1008,961,917,2,915,0,1195,653
Redwood Center,134.84,0,0,0,80,0,2,0,0,0,316,12,177
Renaissance Towne Center,30.48,122,3,119,39,260,859,314,0,314,32,282,962
Research Park,312.88,380,0,380,35,444,8008,5080,0,5080,35,1077,12590
River Park,152.08,11,11,0,134,747,5433,48,13,34,119,714,5987
River Trail Station,111.22000000000004,1,1,0,160,75,2336,1,1,0,102,93,3152
Riverdale City Center,391.87,319,13,306,15,2535,348,980,11,969,6,4584,1259
Riverwoods,267.1500000000003,108,3,105,258,444,6709,157,1,156,273,417,7623
Roper Yards,845.2099999999999,0,0,0,1806,400,2002,0,0,0,1833,376,2243
Rose Park Center,25.770000000000007,63,3,60,7,282,226,92,0,92,5,326,191
Roy Downtown,321.84,1152,168,964,21,1195,3224,1475,146,1308,12,1290,4084
Roy Station,259.40999999999997,844,13,831,41,38,1120,867,15,852,39,63,1458
S-Line Center,31.43,997,1,996,122,68,56,1019,0,1019,101,89,120
SLCC/RSL,215.47,0,0,0,0,0,0,86,0,86,0,4,26
SW Salt Lake Employment District,814.9599999999991,0,0,0,0,0,0,1192,1192,0,64,542,851
Salem,58.81999999999997,35,26,9,8,360,997,40,31,9,8,337,1018
Salt Lake 15th and 15th,1.41,1,1,0,1,46,37,1,1,0,1,41,40
Salt Lake 900 West,32.41,270,110,160,9,58,225,399,16,382,15,202,137
Salt Lake City CBD,785.0199999999983,7256,10,7246,1035,14233,65499,14030,2,14028,1155,24260,110187
Salt Lake City East Downtown,233.38000000000022,4386,114,4272,366,2787,16011,7784,5,7779,211,2505,23866
Salt Lake City Northwest Quadrant,17273.440000000202,15,15,0,29264,4381,26089,23,12,11,35452,12132,80120
Salt Lake Foothill Center,15.57,0,0,0,7,391,1638,0,0,0,7,355,1692
Salt Lake International Airport,6520.990000000003,0,0,0,7810,1038,4283,0,0,0,7596,1481,10880
Sandy Crescent View Station,5.04,0,0,0,0,0,0,0,0,0,0,0,0
Sandy Union Park,76.79999999999997,273,1,272,3,482,2870,847,0,847,2,573,2306
Sandy Village Center,111.32000000000023,329,2,327,92,579,3560,347,0,347,72,1163,4111
