year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,3043,10396,66,7424,2977,2972,-32485,-35310,-10305,-7194,-1148,-1658,-21032,-26458
2021,2265,7458,135,4763,2130,2695,45188,56316,10714,7967,2196,11252,32278,37097
2022,3461,10845,204,7855,3257,2990,32200,32934,-1652,-2072,1597,4640,32255,30366
2023,7649,6711,75,4260,7574,2451,24649,22015,5027,192,1375,6872,18247,14951
2024,5918,10212,56,7356,5862,2856,15459,17126,1700,4,558,4460,13201,12662
2025,5904,11553,125,8452,5779,3101,9593,14420,45,300,915,3944,8633,10176
2026,6434,13412,59,9741,6375,3671,8505,12145,517,699,645,3440,7343,8006
2027,7603,12540,40,9499,7563,3041,7463,12528,651,773,427,2421,6385,9334
2028,5499,14457,26,8597,5473,5860,7808,11925,1026,810,-112,1176,6894,9939
2029,6520,13912,126,9814,6394,4098,10173,15973,1716,1453,-73,2071,8530,12449
2030,4688,13941,17,10635,4671,3306,5618,9813,2536,1953,-21,719,3103,7141
2031,6652,14207,19,8902,6633,5305,3801,7492,232,534,-99,941,3668,6017
2032,6664,14895,76,10107,6588,4788,6128,10924,1633,1691,-273,1505,4768,7728
2033,6740,15676,54,12061,6686,3615,5625,9674,1698,1739,-596,1196,4523,6739
2034,5885,16682,55,11096,5830,5586,9252,13096,1900,1999,-96,1387,7448,9710
2035,4801,14588,93,11884,4708,2704,6360,10530,2022,1862,-363,-469,4701,9137
2036,6829,14931,23,12877,6806,2054,8041,12331,1649,2050,-359,-68,6751,10349
2037,5963,15455,57,12347,5906,3108,8236,13461,2136,2369,-453,-67,6553,11159
2038,6484,15779,101,14212,6383,1567,7414,12703,1163,1909,-429,-16,6680,10810
2039,4537,17714,26,15679,4511,2035,7902,12207,1668,2136,-485,-56,6719,10127
2040,4645,14544,54,12844,4591,1700,9046,11994,1364,2104,-322,-490,8004,10380
2041,5378,19622,142,18413,5236,1209,6611,13080,1756,2768,-478,-167,5333,10479
2042,5664,18703,20,15367,5644,3336,7371,13440,1660,2464,-163,616,5874,10360
2043,3990,13929,136,12593,3854,1336,6594,14404,1806,3017,-180,478,4968,10909
2044,4320,12190,26,9351,4294,2839,5115,16663,1677,2970,-618,1030,4056,12663
2045,3832,15350,1,12360,3831,2990,7704,13837,1983,3273,-109,524,5830,10040
2046,3891,35824,14,34747,3877,1077,6065,15037,1525,3233,-432,567,4972,11237
2047,3378,6352,19,5604,3359,748,5904,14188,2092,3467,-479,-3,4291,10724
2048,2428,9462,17,8063,2411,1399,7392,12312,2566,3371,-257,-327,5083,9268
2049,2427,5914,30,5020,2397,894,6586,12798,2278,3189,-368,-359,4676,9968
2050,1804,5903,20,5124,1784,779,5439,12005,1523,2929,-425,-677,4341,9753
