MPO,parcel_acres,residential_units_19,sf_units_19,mf_units_19,job_spaces_19,ind_jobs_19,rtl_jobs_19,off_jobs_19,ttl_jobs_19,vacant_acres_19,vacant_devacres_19,residential_units_50,sf_units_50,mf_units_50,job_spaces_50,ind_jobs_50,rtl_jobs_50,off_jobs_50,ttl_jobs_50,vacant_acres_50,vacant_devacres_50
MAG,385462.70000006165,190212,127132,63080,329835,37023,63615,230800,331438,300781,35325,398879,272890,125989,575138,48233,98326,396829,543388,245409,11253
WFRC,417002.0499997855,639506,411218,228288,1218889,193619,195685,785236,1174540,167874,66910,1020440,581626,438814,1765512,225598,260396,1164924,1650918,115029,29965
