INFILL1990,parcel_acres,residential_units_19,sf_units_19,mf_units_19,job_spaces_19,ind_jobs_19,rtl_jobs_19,off_jobs_19,ttl_jobs_19,vacant_acres_19,vacant_devacres_19,residential_units_50,sf_units_50,mf_units_50,job_spaces_50,ind_jobs_50,rtl_jobs_50,off_jobs_50,ttl_jobs_50,vacant_acres_50,vacant_devacres_50
0,662465.9800004648,347063,258448,88615,639504,139373,109518,363511,612402,448404,96232,774937,521544,253393,1228316,186287,186291,753371,1125949,345425,39890
1,139998.7699999509,482655,279902,202753,909220,91269,149782,652525,893576,20251,6003,644382,332972,311410,1112334,87544,172431,808382,1068357,15013,1328
