CITY_AREA,parcel_acres,residential_units_2019,sf_units_2019,mf_units_2019,ind_jobs_2019,rtl_jobs_2019,off_jobs_2019,ttl_jobs_2019,residential_units_2050,sf_units_2050,mf_units_2050,ind_jobs_2050,rtl_jobs_2050,off_jobs_2050,ttl_jobs_2050
Alpine,4691.480000000025,2940,2878,62,188,162,1355,1705,3287,3225,62,190,152,1378,1720
American Fork,8031.080000000305,10856,7149,3707,2417,6627,16639,25683,16674,10746,5928,3461,6929,21416,31806
Benjamin,4203.740000000008,311,293,18,13,15,58,86,7310,7295,15,13,270,240,523
Bluffdale,5513.880000000025,4936,3202,1734,1205,246,2127,3578,11715,5054,6661,956,1290,5046,7292
Bountiful,7180.449999999762,16057,11514,4543,869,3225,13800,17894,22034,14833,7201,606,3525,14545,18676
Camp Williams,8.38,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Cedar Fort,8464.090000000062,158,158,0,10,59,49,118,7171,7171,0,52,307,532,891
Cedar Hills,1525.420000000005,2724,2415,309,53,365,842,1260,2866,2556,310,58,355,963,1376
Centerville,2925.310000000001,6369,4097,2272,891,2954,5347,9192,9618,4804,4814,940,2422,5331,8693
Clearfield,4075.99999999982,11224,5867,5357,8358,1618,11846,21822,20126,3447,16679,9408,3530,19396,32334
Clinton,3052.9800000000273,7010,6564,446,190,2163,2612,4965,12540,8394,4146,207,3159,4391,7757
Copperton,320.94,313,267,46,89,2,183,274,367,301,66,111,2,246,359
Cottonwood Heights,4540.659999999851,13634,9811,3823,941,3980,18178,23099,18365,11667,6698,880,6473,20589,27942
Davis County,1958.699999999998,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Deer Ridge,3161.4600000000223,4,4,0,0,0,0,0,89,77,12,0,0,0,0
Draper,13064.13999999968,16984,10429,6555,5918,9422,30395,45735,32715,13433,19282,5119,12945,57044,75108
Eagle Mountain,40502.59000000077,10776,9154,1622,480,1211,1882,3573,47057,39170,7887,1977,16911,50373,69261
Eastside Mountains,1648.6400000000008,9,9,0,0,0,0,0,61,61,0,0,0,3,3
Elberta,28514.869999999984,68,56,12,1,2,4,7,68,56,12,1,2,5,8
Elk Ridge,1461.3199999999974,1059,1031,28,15,10,31,56,1183,1118,65,25,48,238,311
Fairfield,8033.430000000047,56,56,0,1,3,24,28,1721,1721,0,75,862,2003,2940
Farmington,5953.259999999963,7653,5766,1887,248,2721,11645,14614,16997,10896,6101,378,4243,16114,20735
Farr West,3589.6499999999824,2496,2167,329,3970,456,1868,6294,4247,3685,562,4082,498,2327,6907
Fruit Heights,1186.1299999999917,2056,1646,410,7,32,415,454,3056,2612,444,7,62,489,558
Genola,8285.590000000038,418,397,21,35,16,35,86,746,726,20,51,19,74,144
Goshen,9342.750000000005,373,260,113,1,218,113,332,373,260,113,1,253,141,395
Harrisville,1671.9499999999978,2316,1728,588,58,922,1273,2253,3437,2044,1393,137,1325,2009,3471
Herriman,10943.939999999888,16436,9820,6616,860,1132,1902,3894,41941,26236,15705,1606,3973,13478,19057
Highland,5212.170000000062,4381,4161,220,131,664,1813,2608,6135,5694,441,161,750,2441,3352
Holladay,4460.95999999994,12325,8522,3803,728,1748,10298,12774,15915,10456,5459,686,2031,12232,14949
Hooper,6827.45000000004,2685,2669,16,81,29,162,272,6550,6514,36,79,31,234,344
Kaysville,6263.569999999894,9477,8585,892,1346,1866,9058,12270,15680,12917,2763,1163,2719,12067,15949
Kearns,2166.2400000003704,9653,8989,664,572,856,2871,4299,10756,9854,902,845,1227,3668,5740
Lake Mountain,23109.28,0,0,0,0,0,0,0,106,106,0,0,0,0,0
Lake Shore,8287.150000000005,278,265,13,26,43,87,156,4310,4295,15,12,198,212,422
Layton,14521.219999999883,28070,19713,8357,3599,9546,18232,31377,48411,28569,19842,3412,12307,33356,49075
Lehi,17968.68000000083,22208,16745,5463,5370,8760,35242,49372,35572,25477,10095,7497,11436,67969,86902
Lindon,3419.0000000000355,3060,2520,540,3140,1901,7485,12526,3361,2791,570,3445,1976,9736,15157
Magna,3463.679999999925,8919,7222,1697,553,915,2033,3501,17926,10013,7913,806,859,2682,4347
Mapleton,6312.250000000016,3306,3169,137,337,319,1689,2345,8108,7588,520,454,1294,4061,5809
Marriott-Slaterville,4196.420000000013,694,601,93,479,636,1129,2244,1960,1863,97,620,809,1519,2948
Midvale,3115.790000000024,15736,5247,10489,3482,6235,15699,25416,21785,6521,15264,3363,8466,19600,31429
Mill Creek,6106.369999999612,26737,14288,12449,2114,5327,27761,35202,33351,16735,16616,1928,4504,30780,37212
Mosida,10763.920000000206,2,2,0,0,0,0,0,1445,1445,0,0,0,0,0
Murray,6245.619999999586,21715,10736,10979,4154,9530,43031,56715,31727,12737,18990,3259,11007,50421,64687
North Goshen Valley,18291.700000000066,15,8,7,0,0,0,0,15,8,7,0,0,0,0
