COUNTY_NAME,ind_jobs_19,ind_jobs_19,ind_jobs_50,ind_jobs_50,job_spaces_19,job_spaces_19,job_spaces_50,job_spaces_50,mf_units_19,mf_units_19,mf_units_50,mf_units_50,off_jobs_19,off_jobs_19,off_jobs_50,off_jobs_50,parcel_acres,parcel_acres,residential_units_19,residential_units_19,residential_units_50,residential_units_50,rtl_jobs_19,rtl_jobs_19,rtl_jobs_50,rtl_jobs_50,sf_units_19,sf_units_19,sf_units_50,sf_units_50,ttl_jobs_19,ttl_jobs_19,ttl_jobs_50,ttl_jobs_50,vacant_acres_19,vacant_acres_19,vacant_acres_50,vacant_acres_50
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
DAVIS,13935,11564,17147,11265,113287,70709,165510,83433,16548,13745,51088,33789,77798,44490,123721,53718,65849.78000000547,14847.609999999722,77042,41790,145280,67340,18518,12409,27711,15424,60494,28045,94192,33551,110251,68463,168579,80407,29252,1725,19425,762
SALT LAKE,80293,64414,108915,60533,290954,609349,576582,762959,35002,135428,102580,207473,154600,426344,335964,541578,158613.7899999791,78936.9600000287,122651,306104,248086,408262,44070,97159,72662,116056,87649,170676,145506,200789,278963,587917,517541,718167,77331,9315,55808,7313
UTAH,25871,11152,36918,11315,155413,174422,379378,195760,25304,37776,75304,50685,89936,140864,236778,160051,351139.71000004373,34352.38999999859,99172,91040,282939,115940,31226,32389,66386,31940,73868,53264,207635,65255,147033,184405,340082,203306,292776,8034,239065,6373
WEBER,19274,4139,23307,4431,79850,54740,106846,70182,11761,15804,24421,19463,41177,40827,56908,53035,86862.69999999998,11861.80999999904,48198,43721,98632,52840,15704,7825,19532,9011,36437,27917,74211,33377,76155,52791,99747,66477,49045,1177,31127,565
