,parcel_id,parcel_id_REMM,county_id,zone_id,parcel_acres,land_value,max_far,max_dua,has_buildings,was_developed,was_redeveloped,developable,residential_units,job_spaces,building_sqft,non_residential_sqft,residential_sqft,unit_price_non_residential,res_price_per_sqft,is_sf,is_mf,is_industrial,is_retail,is_office,is_govt,is_mixeduse,is_other,year_built,building_count,households_count,non_res_value,res_value,total_value,job_spaces_added,res_units_added,acreage_dev,acreage_redev,acreage_dev_res,acreage_redev_res,acreage_dev_nonres,acreage_redev_nonres,res_units_added_dev,res_units_added_redev,value_added_dev,value_added_redev,value_added_dev_res,value_added_dev_nonres
122950,508301,508301,57,341,0.17323862399999998,22000.0,0.0,11.54476963,1,0,1,1.0,2.0,0.0,3018.509778,0.0,3018.509778,0.0,62.61898819027209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,189016.02814080284,211016.02814080284,0.0,1.0,,0.17323862399999998,,0.17323862399999998,,,,1.0,,130537.02813828285,,
123024,462486,462486,57,374,0.174897418,39760.0,1.0,25.0,1,0,1,1.0,4.0,0.0,7618.531545999998,0.0,7618.531545999998,0.0,56.6724823972436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,431761.09493353,471521.09493353,0.0,3.0,,0.174897418,,0.174897418,,,,3.0,,344621.07731752994,,
123135,560597,560597,57,203,0.709409305,56350.0,0.0,4.228870381,1,0,1,1.0,3.0,0.0,7725.4673349999985,0.0,7725.4673349999985,0.0,62.25478720372628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,480947.32498976326,537297.3249897633,0.0,2.0,,0.709409305,,0.709409305,,,,2.0,,303586.92562616325,,
123187,474965,474965,57,198,1.078545692,37500.0,1.0,25.0,1,0,1,1.0,23.0,0.0,46981.45035,0.0,46981.45035,0.0,53.61818800004809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,2519060.2373812255,2556560.2373812255,0.0,22.0,,1.078545692,,1.078545692,,,,22.0,,2519060.2373812255,,
123209,549547,549547,57,238,15.8873036,528800.0,0.0,0.944150145,1,0,1,1.0,10.0,0.0,34602.547235000005,0.0,34602.547235000005,0.0,60.59276364068427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,2096663.9659759682,2625463.965975968,0.0,9.0,,15.8873036,,15.8873036,,,,9.0,,2096663.9659759682,,
123295,463341,463341,57,386,0.32238632100000003,45270.0,0.0,12.40747434,1,0,1,1.0,3.0,0.0,7021.574065000002,0.0,7021.574065000002,0.0,59.32653414559884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,416565.6535230738,461835.6535230738,0.0,2.0,,0.32238632100000003,,0.32238632100000003,,,,2.0,,416565.6535230738,,
123331,473230,473230,57,284,0.455478158,37224.0,0.0,6.586484879,1,0,1,1.0,3.0,0.0,5952.188568000001,0.0,5952.188568000001,0.0,71.33015473756684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,424570.5315826165,461794.5315826165,0.0,2.0,,0.455478158,,0.455478158,,,,2.0,,338019.70986421645,,
123622,529364,529364,57,293,0.372695986,34980.0,0.0,5.366304112,1,0,1,1.0,2.0,0.0,3246.927426,0.0,3246.927426,0.0,73.87726303585815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,239874.11150894378,274854.11150894384,0.0,1.0,,0.372695986,,0.372695986,,,,1.0,,239874.11150894387,,
124082,519967,519967,57,271,1.093968573,53000.0,0.0,2.7423091260000003,1,0,1,1.0,3.0,0.0,7147.9906545,0.0,7147.990654500001,0.0,64.37905112141034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,460180.85576141893,513180.85576141893,0.0,2.0,,1.093968573,,1.093968573,,,,2.0,,342693.0688630189,,
125263,485884,485884,57,244,0.323171335,30285.0,1.3,25.0,1,0,1,1.0,5.0,0.0,14077.34336,0.0,14077.34336,0.0,48.84911660466214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,687665.7872765062,717950.7872765063,0.0,3.0,,0.323171335,,0.323171335,,,,3.0,,539552.0366383662,,
