year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,1772,11787,4554582,39906017,177,1528,-8305,-9194,-444,-2362,-16153,-31337,-24902,-42893
2021,1875,7744,4982204,24271570,175,951,8656,10024,1849,11599,25075,44300,35580,65923
2022,3042,11600,7794670,37712734,256,1456,-1820,-1903,1340,4897,24059,38567,23579,41561
2023,6427,7829,17124435,26237113,411,968,3936,1295,931,7318,14456,18790,19323,27403
2024,5760,10132,15461317,34639798,418,1287,1586,118,482,4536,10590,15273,12658,19927
2025,4949,12341,13430854,44682734,335,1666,-52,396,934,3925,6894,11914,7776,16235
2026,5645,14180,15833050,49103048,359,1547,438,778,922,3163,5172,10177,6532,14118
2027,6280,13436,18066316,47522707,362,1698,583,841,536,2312,5586,10133,6705,13286
2028,6727,13341,19263563,47778997,390,1679,888,948,-152,1216,5625,11208,6361,13372
2029,5692,14535,16137221,51787397,376,1499,1550,1619,-209,2207,7932,13047,9273,16873
2030,4367,13986,12358226,51507694,317,1688,2363,2126,-132,830,3099,7145,5330,10101
2031,6754,14828,19415063,51840105,480,1696,217,549,-197,1039,3173,6512,3193,8100
2032,5651,15634,16269011,55810420,450,1820,1598,1726,-646,1878,4890,7606,5842,11210
2033,5910,15988,17401449,58273336,364,1948,1385,2052,-380,980,3051,8211,4056,11243
2034,7082,15584,20520733,52489487,405,1943,1729,2170,-596,1887,5943,11215,7076,15272
2035,4958,15114,13709006,55517045,305,2033,1743,2141,-1675,843,4947,8891,5015,11875
2036,5431,16927,15915353,62952045,344,2334,1591,2108,-404,-23,6327,10773,7514,12858
2037,6233,14917,18200198,58744786,291,2119,1678,2827,-488,-32,5799,11913,6989,14708
2038,6049,16485,18074397,65523001,395,2770,1182,1890,-430,-15,6601,10889,7353,12764
2039,5080,16904,14936747,66137449,342,2594,1737,2067,-668,127,6591,10255,7660,12449
2040,4459,14030,12827744,59113806,313,2205,1333,2135,-463,-349,7423,10961,8293,12747
2041,5562,19540,16078169,78780748,391,4050,1911,2613,-484,-161,6339,9473,7766,11925
2042,6275,17452,19613095,61583548,309,2645,1594,2530,-469,922,5552,10682,6677,14134
2043,4301,13480,12636596,46319560,301,2896,1927,2896,-264,562,6121,9756,7784,13214
2044,4761,11353,13997874,37912775,256,2478,1641,3006,-417,829,6325,10394,7549,14229
2045,3564,14438,10208188,51111795,247,3000,1981,3275,-99,514,5322,10548,7204,14337
2046,4224,36988,12327544,145200551,230,6180,1277,3481,-442,577,5622,10587,6457,14645
2047,3216,8886,9458114,27766549,175,2687,1850,3709,-558,76,4913,10102,6205,13887
2048,3066,9252,8054378,32395405,140,1788,1741,4196,-278,-306,4761,9590,6224,13480
2049,2401,5719,6860459,17383014,115,1361,1981,3486,-245,-482,5216,9428,6952,12432
2050,1348,6450,3763656,19901161,94,1346,1663,2789,-245,-857,5638,8456,7056,10388
