year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,2082,11372,5379831,39616452,196,1529,-8334,-9165,-514,-2292,-16189,-31301,-25037,-42758
2021,2035,7753,5108642,24736727,226,995,8450,10231,1770,11679,24927,44446,35147,66356
2022,2628,11675,6650306,37797242,272,1624,-1926,-1798,1487,4750,25664,36954,25225,39906
2023,6394,7998,18418472,26045261,348,999,3828,1400,1606,6644,14928,18320,20362,26364
2024,5081,11085,13907842,38934510,359,1344,1687,17,590,4428,11711,14152,13988,18597
2025,3940,13181,10794339,48364032,262,1418,88,257,1005,3854,8288,10521,9381,14632
2026,6841,12820,19078932,45812400,414,1709,462,754,885,3200,6329,9020,7676,12974
2027,7246,13040,20812553,46513720,418,1694,654,770,629,2219,6119,9600,7402,12589
2028,6121,13862,18068569,49759690,389,1610,888,948,-222,1286,5457,11376,6123,13610
2029,6234,14039,18151547,51065768,380,1568,1480,1689,-196,2194,7609,13370,8893,17253
2030,4650,13788,12998796,50312284,345,1657,2605,1884,-250,948,2984,7260,5339,10092
2031,6226,14829,17993185,50049891,432,1508,256,510,-295,1137,3250,6435,3211,8082
2032,6250,15854,17951046,56762957,476,2138,1675,1649,-624,1856,4723,7773,5774,11278
2033,6093,16270,17043385,58977341,489,2319,1629,1808,-504,1104,4014,7248,5139,10160
2034,5780,17318,16108967,59500910,445,2223,2041,1858,-598,1889,6747,10411,8190,14158
2035,5124,13872,13998826,51133936,279,1996,1857,2027,-1555,723,5049,8789,5351,11539
2036,5843,16252,16265618,60539572,283,2064,1548,2151,-347,-80,5156,11944,6357,14015
2037,5779,15821,17438701,61024407,317,2252,1963,2542,-577,57,5171,12541,6557,15140
2038,6043,16483,17966583,64547650,330,2625,937,2135,-589,144,5382,12108,5730,14387
2039,4579,17309,13002121,66428182,313,2421,1459,2345,-568,27,5635,11211,6526,13583
2040,3574,14943,10059345,60237324,277,2292,1285,2183,-324,-488,6864,11520,7825,13215
2041,5304,20011,15632851,83032598,376,3684,1695,2829,-642,-3,5433,10379,6486,13205
2042,6239,18008,20055536,63013153,294,2894,1743,2381,-435,888,5501,10733,6809,14002
2043,4027,15657,11918919,55971392,261,3350,1614,3209,-223,521,5322,10555,6713,14285
2044,4032,13314,11379634,43531828,277,2969,1586,3061,-425,837,5347,11372,6508,15270
2045,4066,12958,11707000,45698712,242,2856,2161,3095,-178,593,4513,11357,6496,15045
2046,4301,36543,12895768,146227308,219,6245,1564,3194,-420,555,3788,12421,4932,16170
2047,3276,6282,9640494,19338547,165,1682,1906,3653,-355,-127,4053,10962,5604,14488
2048,2309,11102,5847691,37833803,138,2127,2110,3827,-254,-330,4254,10097,6110,13594
2049,1860,6439,5104883,19159607,128,1607,1962,3505,-296,-431,4119,10525,5785,13599
2050,1345,6620,3797306,20530798,112,1457,1346,3106,-249,-853,3702,10392,4799,12645
