year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,1802,11733,83,7471,1718,4262,-25132,-42675,-8378,-9122,-624,-2183,-16130,-31371
2021,1936,7870,148,4919,1787,2951,35799,65704,8818,9862,1905,11544,25076,44298
2022,2516,11824,156,7662,2361,4162,24151,40980,-1833,-1892,1272,4966,24713,37906
2023,6053,8236,39,4406,6014,3829,19259,27426,3932,1292,1161,7088,14166,19047
2024,5611,10469,22,6881,5589,3589,13376,19209,1692,12,590,4428,11095,14768
2025,4852,12244,44,8573,4807,3671,8534,15479,57,288,900,3959,7577,11232
2026,6257,13860,87,9431,6170,4430,7106,13544,444,772,798,3286,5864,9485
2027,6365,13456,60,9855,6304,3602,7017,12974,648,776,618,2230,5751,9968
2028,6060,14038,113,9411,5946,4627,6673,13060,911,925,-204,1268,5966,10867
2029,6048,14365,94,9325,5954,5040,9476,16670,1609,1560,-87,2085,7954,13025
2030,4732,13624,74,9899,4658,3725,5412,10020,2491,1998,-110,808,3031,7213
2031,6586,14660,164,8810,6422,5850,3239,8054,233,533,-208,1050,3214,6472
2032,6261,15144,127,10100,6135,5044,5846,11206,1597,1727,-344,1576,4592,7904
2033,6204,16048,156,11994,6048,4054,4862,10436,1562,1876,-429,1029,3730,7532
2034,5735,16961,181,11786,5555,5175,7747,14601,1825,2074,-377,1668,6299,10859
2035,4742,15190,104,11582,4638,3608,5506,11384,1828,2056,-585,-247,4263,9575
2036,5405,16367,163,12529,5243,3838,6955,13417,1596,2102,-382,-45,5741,11359
2037,6128,15677,146,13169,5982,2508,6891,14806,1914,2591,-503,-17,5480,12232
2038,6089,15924,210,13988,5878,1937,7164,12954,1235,1837,-455,10,6384,11106
2039,5246,16959,161,15262,5084,1697,7090,13018,1578,2226,-560,19,6073,10773
2040,4125,14598,109,12874,4016,1724,8225,12815,1378,2090,-324,-488,7171,11213
2041,5588,19507,329,17561,5259,1946,6405,13286,1826,2698,-538,-106,5118,10694
2042,6237,17781,197,13702,6040,4078,6758,14053,1639,2485,-300,754,5420,10814
2043,4508,14132,284,12677,4224,1454,6899,14099,2038,2786,-305,603,5166,10711
2044,4488,11924,215,10343,4274,1581,6578,15200,1818,2830,-474,886,5234,11485
2045,3757,14230,92,11808,3665,2422,7170,14371,2083,3173,-170,585,5257,10613
2046,4049,36296,43,34879,4006,1417,6059,15043,1384,3374,-436,571,5111,11098
2047,3606,6762,10,5897,3596,865,5862,14230,1828,3731,-436,-46,4470,10545
2048,2282,10082,1,7894,2281,2188,6992,12712,2302,3635,-234,-350,4925,9426
2049,2162,6137,12,5122,2150,1016,6518,12866,2169,3298,-322,-405,4670,9974
2050,1631,6268,9,5288,1622,980,6062,11382,1676,2776,-268,-834,4655,9439
