year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,1779,11875,4695053,40685666,170,1445,-8436,-9065,-451,-2356,-16034,-31504,-24921,-42925
2021,1779,7942,4395266,25221816,181,988,8816,9864,2149,11300,25824,43550,36789,64714
2022,2800,11282,7021380,37247185,246,1489,-1818,-1909,1224,5013,24950,37677,24356,40781
2023,6322,8221,17028113,26689630,377,986,3893,1336,1266,6983,14600,18648,19759,26967
2024,5698,10492,16003562,37402206,365,1220,1703,1,700,4318,10855,15008,13258,19327
2025,4894,11963,12862197,43615662,275,1537,82,263,693,4166,7572,11237,8347,15666
2026,6156,14011,16999036,49692398,439,1680,407,809,702,3383,5841,9508,6950,13700
2027,6680,13157,19291795,47731168,426,1676,639,785,595,2253,5729,9990,6963,13028
2028,6157,13812,18068064,50083935,399,1677,833,1003,-118,1182,5974,10859,6689,13044
2029,6061,14240,17969623,50830017,378,1586,1696,1473,-182,2180,8575,12404,10089,16057
2030,4972,13416,13891730,48609821,360,1660,2590,1899,-283,981,3093,7151,5400,10031
2031,6947,14084,20085923,50210422,454,1637,138,628,-300,1142,3203,6482,3041,8252
2032,6105,15497,17962057,54907176,421,1923,1532,1792,-283,1515,4749,7747,5998,11054
2033,5740,16641,16386744,61596438,394,2136,1644,1793,-349,949,4056,7206,5351,9948
2034,5118,17302,14892767,62423583,416,2331,1714,2185,-246,1537,6332,10826,7800,14548
2035,4891,15384,13305503,54624202,341,2196,1678,2206,-408,-424,4316,9522,5586,11304
2036,4674,17053,12633402,62123519,291,2097,1626,2073,-456,29,5744,11356,6914,13458
2037,6518,16151,18746278,61915220,364,2377,2046,2459,-686,166,5653,12059,7013,14684
2038,6077,15752,18233252,63289260,398,2665,1353,1719,-617,172,6467,11023,7203,12914
2039,5104,17587,14505751,68557244,337,2512,1766,2038,-565,24,5732,11114,6933,13176
2040,3300,14790,9454562,59650459,288,2302,1572,1896,-346,-466,7604,10780,8830,12210
2041,5641,19572,16984344,81246559,351,3566,1903,2621,-477,-168,4885,10927,6311,13380
2042,5955,17535,18600153,63598371,304,3333,1899,2225,-400,853,5867,10367,7366,13445
2043,4813,12231,13926350,40281756,313,2834,2246,2577,-390,688,5106,10771,6962,14036
2044,4767,11702,13825114,38649749,240,2726,1985,2662,-472,884,5013,11706,6526,15252
2045,3568,14608,9965947,51193542,210,3120,2553,2703,-217,632,4871,10999,7207,14334
2046,4268,35135,12136294,140468460,205,5864,1294,3464,-454,589,5213,10996,6053,15049
2047,3347,5888,9382052,18166163,145,1582,1899,3660,-376,-106,4862,10153,6385,13707
2048,2225,10937,5774043,37108893,125,2124,2634,3303,-193,-391,4509,9842,6950,12754
2049,1858,6610,5095204,19713748,148,1618,2491,2976,-261,-466,4719,9925,6949,12435
2050,1535,6417,4361190,19826930,125,1628,2144,2308,-228,-874,4820,9274,6736,10708
