year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,2584,10844,144,7344,2440,3500,-32206,-35589,-10427,-7072,-381,-2425,-21398,-26092
2021,2551,7463,195,5123,2356,2340,45897,55606,10752,7929,2192,11256,32953,36421
2022,3066,11161,166,7698,2900,3463,32072,33053,-1986,-1739,905,5332,33153,29460
2023,6488,7735,79,5112,6409,2623,25333,21331,5328,-107,1438,6810,18567,14628
2024,7142,9174,82,6547,7060,2627,16474,16111,1901,-197,737,4281,13836,12027
2025,5395,11412,83,8059,5312,3353,10348,13665,131,214,931,3928,9286,9523
2026,7570,12634,83,9197,7487,3437,7255,13395,516,700,626,3459,6113,9236
2027,5889,13820,71,11060,5818,2760,7942,12049,764,660,799,2049,6379,9340
2028,5816,14188,57,9309,5759,4879,7333,12400,958,878,-112,1176,6487,10346
2029,6467,14424,41,9146,6426,5278,10220,15926,1761,1408,-136,2134,8595,12384
2030,5390,12746,152,9581,5238,3165,6033,9398,2692,1797,-67,765,3408,6836
2031,6969,14867,49,9113,6920,5754,3281,8012,186,580,-271,1113,3366,6319
2032,7331,13975,22,10006,7309,3969,6574,10478,1865,1459,-375,1607,5084,7412
2033,6239,15696,54,11377,6185,4319,5318,9981,1758,1679,-565,1165,4125,7137
2034,5880,17202,37,12443,5843,4759,9087,13261,2035,1864,-177,1468,7229,9929
2035,4163,15648,81,12017,4082,3631,6193,10697,1885,1999,-345,-487,4653,9185
2036,5439,16083,64,13310,5375,2773,6963,13409,1620,2079,-375,-52,5718,11382
2037,6704,15491,41,13818,6663,1673,7090,14607,1755,2750,-271,-249,5606,12106
2038,6561,14661,41,13129,6520,1532,6517,13600,804,2268,-398,-47,6111,11379
2039,5876,15797,30,13843,5846,1954,6688,13421,1469,2335,-435,-106,5654,11192
2040,4610,14064,156,13008,4454,1056,7761,13279,1363,2105,-261,-551,6659,11725
2041,5815,19661,80,17863,5735,1798,5481,14210,1920,2604,-544,-101,4105,11707
2042,6805,18102,11,13748,6794,4354,5786,15025,1672,2452,-295,748,4409,11825
2043,4186,15351,125,13592,4061,1759,5335,15663,1916,2907,-205,503,3624,12253
2044,3829,12532,2,11665,3827,867,6836,14942,1970,2677,-311,723,5177,11542
2045,3251,14148,3,12096,3248,2052,7467,14074,2456,2800,-87,502,5098,10772
2046,4189,36226,4,34959,4185,1267,6203,14899,1145,3613,-408,543,5466,10743
2047,3706,6993,11,6153,3695,840,6365,13727,1820,3739,-417,-65,4962,10053
2048,2314,9766,18,8078,2296,1688,7891,11813,2531,3406,-203,-381,5563,8788
2049,2251,6416,9,5259,2242,1157,7489,11895,2416,3051,-329,-398,5402,9242
2050,1844,6099,5,5429,1839,670,6204,11240,1519,2933,-253,-849,4938,9156
