,Year,NuDeve_SF,NuDeve_MF,NuDeve_DU,NuDeve_JS,Redeve_SF,Redeve_MF,Redeve_DU,Redeve_JS,SaltLake,DU_Built,JS_Built
0,2019.0,89.0,73.0,162.0,0.0,32.0,88.0,120.0,0.0,2019.0,282.0,0.0
1,2020.0,476.0,2851.0,3327.0,30503.0,187.0,2725.0,2912.0,10289.0,2020.0,6239.0,40792.0
2,2021.0,654.0,2753.0,3407.0,62.0,142.0,2150.0,2292.0,44.0,2021.0,5699.0,106.0
3,2022.0,974.0,3075.0,4049.0,27839.0,362.0,3481.0,3843.0,18915.0,2022.0,7892.0,46754.0
4,2023.0,1337.0,2780.0,4117.0,22706.0,413.0,3229.0,3642.0,16125.0,2023.0,7759.0,38831.0
5,2024.0,1481.0,2598.0,4079.0,14592.0,482.0,3360.0,3842.0,14676.0,2024.0,7921.0,29268.0
6,2025.0,1026.0,1435.0,2461.0,11216.0,416.0,2259.0,2675.0,10019.0,2025.0,5136.0,21235.0
7,2026.0,1528.0,2122.0,3650.0,9755.0,490.0,2808.0,3298.0,6205.0,2026.0,6948.0,15960.0
8,2027.0,1605.0,1448.0,3053.0,7371.0,440.0,3896.0,4336.0,6151.0,2027.0,7389.0,13522.0
9,2028.0,1926.0,1722.0,3648.0,8907.0,673.0,2668.0,3341.0,7182.0,2028.0,6989.0,16089.0
10,2029.0,2067.0,1624.0,3691.0,8874.0,986.0,2929.0,3915.0,4015.0,2029.0,7606.0,12889.0
11,2030.0,1372.0,549.0,1921.0,7134.0,650.0,2433.0,3083.0,3856.0,2030.0,5004.0,10990.0
12,2031.0,2599.0,1356.0,3955.0,3147.0,1210.0,3010.0,4220.0,7052.0,2031.0,8175.0,10199.0
13,2032.0,2591.0,1349.0,3940.0,4971.0,1645.0,2868.0,4513.0,3350.0,2032.0,8453.0,8321.0
14,2033.0,3157.0,1021.0,4178.0,5643.0,2337.0,2774.0,5111.0,6620.0,2033.0,9289.0,12263.0
15,2034.0,3232.0,564.0,3796.0,5876.0,2318.0,3327.0,5645.0,6245.0,2034.0,9441.0,12121.0
16,2035.0,1608.0,152.0,1760.0,6324.0,1481.0,3347.0,4828.0,2444.0,2035.0,6588.0,8768.0
17,2036.0,2109.0,420.0,2529.0,4707.0,3178.0,3340.0,6518.0,6785.0,2036.0,9047.0,11492.0
18,2037.0,1431.0,580.0,2011.0,6855.0,2835.0,3967.0,6802.0,8025.0,2037.0,8813.0,14880.0
19,2038.0,1469.0,113.0,1582.0,7351.0,4523.0,3498.0,8021.0,8430.0,2038.0,9603.0,15781.0
20,2039.0,1095.0,43.0,1138.0,4212.0,6639.0,2698.0,9337.0,13477.0,2039.0,10475.0,17689.0
21,2040.0,336.0,0.0,336.0,3505.0,4473.0,2255.0,6728.0,4178.0,2040.0,7064.0,7683.0
22,2041.0,71.0,4.0,75.0,4861.0,3987.0,2051.0,6038.0,5993.0,2041.0,6113.0,10854.0
23,2042.0,2565.0,984.0,3549.0,5683.0,1262.0,2449.0,3711.0,7956.0,2042.0,7260.0,13639.0
24,2043.0,0.0,0.0,0.0,5022.0,700.0,988.0,1688.0,7989.0,2043.0,1688.0,13011.0
25,2044.0,0.0,0.0,0.0,3633.0,503.0,1542.0,2045.0,8249.0,2044.0,2045.0,11882.0
26,2045.0,0.0,0.0,0.0,4015.0,442.0,1465.0,1907.0,6451.0,2045.0,1907.0,10466.0
27,2046.0,0.0,0.0,0.0,555.0,695.0,2363.0,3058.0,6888.0,2046.0,3058.0,7443.0
28,2047.0,0.0,0.0,0.0,502.0,439.0,1828.0,2267.0,8869.0,2047.0,2267.0,9371.0
29,2048.0,0.0,0.0,0.0,982.0,442.0,468.0,910.0,8450.0,2048.0,910.0,9432.0
30,2049.0,0.0,0.0,0.0,1019.0,302.0,772.0,1074.0,5656.0,2049.0,1074.0,6675.0
31,2050.0,0.0,0.0,0.0,816.0,334.0,515.0,849.0,6095.0,2050.0,849.0,6911.0
