NAME,POPBaseYear,POP2019,POP2020,POP2025,POP2030,POP2040,POP2050
Alpine,10133,10167,10310,10919,11409,12819,13892
American Fork,34418,34497,35263,40387,44758,51326,55047
Bluffdale,18583,18592,18705,20283,22190,28957,35616
Bountiful,45614,45455,45744,47746,50281,57383,64019
Cedar Fort,668,667,686,692,1002,5255,17487
Cedar Hills,10337,10336,10501,10940,11156,11486,11760
Centerville,17045,17006,17138,18428,19497,21594,26249
Clearfield,33431,33445,33872,38152,42251,51790,58554
Clinton,23888,23752,23836,24401,24977,31511,37544
Copperton,1119,1119,1139,1236,1324,1409,1476
Cottonwood Heights,34326,34391,34806,36423,37661,43197,52274
Draper,51735,51835,52999,58669,65401,83095,97914
Eagle Mountain,44659,44755,45880,58081,72800,107849,144249
Elk Ridge,4588,4585,4697,5229,5656,6485,7283
Fairfield,215,215,215,218,243,268,1131
Farmington,24427,24361,24779,32903,39703,50454,57483
Farr West,8231,8224,8286,8764,9035,10263,12045
Fruit Heights,6066,6054,6118,6277,6537,7593,8941
Genola,1512,1499,1523,1637,1773,2239,2996
Goshen,1234,1222,1252,1303,1321,1332,1375
Harrisville,7016,7011,7057,7503,8105,9578,12256
Herriman,59568,59563,60271,67109,74255,90168,94997
Highland,18784,18814,19182,20998,22973,26334,28407
Holladay,31640,31755,32126,33651,34876,38207,40278
Hooper,9254,9197,9314,10102,11123,13200,15395
Kaysville,32821,32712,32879,34523,36053,40356,47582
Kearns Township,38688,38652,38797,39196,39580,40446,42027
Layton,82682,82562,83262,89497,98871,123015,146394
Lehi,78794,78976,80946,91904,99384,110336,117887
Lindon,11030,11039,11268,12044,12871,14423,15331
Magna Township,29769,29718,30003,31394,33887,42472,47475
Mapleton,11452,11486,11679,13753,16506,21601,26096
Marriott-Slaterville,2162,2148,2171,2436,2675,3259,3861
Midvale,34202,34345,35499,42327,48522,57571,60372
Millcreek,62176,62281,63466,68529,72474,81449,88009
Murray,50816,50940,51855,57623,63797,75358,81755
North Ogden,22361,22286,22432,23912,26691,33251,39986
North Salt Lake,22086,22084,22314,23848,24988,27701,29635
Ogden,86758,86675,87093,91912,97219,106926,118307
Orem,90693,91383,94532,105205,110041,116645,121086
Payson,21910,21954,22668,26138,30113,38938,46330
Plain City,7219,7220,7492,9252,10607,13477,17079
Pleasant Grove,35275,35475,36606,40569,43442,48503,51894
Pleasant View,11350,11341,11483,12314,13194,14996,16609
Provo,99918,100340,105040,131375,154040,179619,192429
Riverdale,8797,8768,8919,9698,10955,13027,16187
Riverton,45859,45858,46055,47629,49618,56116,61282
Roy,39777,39629,39811,41230,42100,44126,46163
Salem,9927,9946,10251,14741,21043,34154,44678
Salt Lake City,196800,197398,202473,235169,264425,302216,324408
Sandy,99473,99535,100458,105788,111825,129920,144723
Santaquin,13623,13607,13873,16125,18340,22447,25904
Saratoga Springs,38619,38643,40354,58692,78536,121950,152684
South Jordan,84741,84851,85711,92499,103462,132576,156688
South Ogden,18572,18517,18598,19350,20219,21716,23546
South Salt Lake,25847,25899,26470,29632,34322,43779,48187
South Weber,7641,7591,7641,7949,8098,8920,10548
Spanish Fork,42521,42488,43405,48639,54625,65215,72279
Springville,35615,35589,36275,41328,46554,57981,64596
Sunset,5882,5884,5919,6516,7020,8375,9412
Syracuse,32513,32456,32743,37865,46235,56464,65694
Taylorsville,60620,60621,61184,62320,63308,64455,66958
Uintah,1143,1123,1124,1154,1285,1391,1466
Vineyard,14004,14078,14612,19793,27560,33960,35205
Washington Terrace,9441,9422,9456,9664,9817,10882,11528
West Bountiful,5733,5688,5714,5863,6198,7230,8682
West Haven,17492,17563,18151,23314,28028,35581,42160
West Jordan,117272,117349,118314,124674,132602,152095,162085
West Point,11123,11058,11226,14392,17233,24711,30130
West Valley City,144450,144260,145515,151592,156901,169015,175543
White City Township,5793,5781,5811,5890,5928,6069,6764
Woodland Hills,1667,1673,1723,1980,2340,2960,3630
Woods Cross,11325,11340,11573,13120,15537,19257,21451
