,county_id,Year,SF,MF
0,11,2019,88539.0,30293.0
1,35,2019,258429.0,170589.0
2,49,2019,127226.0,63117.0
3,57,2019,64387.0,27577.0
4,11,2020,88813.0,31141.0
5,35,2020,258910.0,176060.0
6,49,2020,131125.0,65247.0
7,57,2020,64707.0,28182.0
8,11,2025,91182.0,41332.0
9,35,2025,265352.0,204230.0
10,49,2025,156119.0,79004.0
11,57,2025,67991.0,32919.0
12,11,2030,94542.0,52760.0
13,35,2030,276065.0,229179.0
14,49,2030,185728.0,88630.0
15,57,2030,72058.0,38248.0
16,11,2040,107228.0,73575.0
17,35,2040,316592.0,268160.0
18,49,2040,250427.0,98822.0
19,57,2040,80681.0,49692.0
20,11,2050,122569.0,89560.0
21,35,2050,324788.0,276376.0
22,49,2050,321879.0,102408.0
23,57,2050,90912.0,60562.0
