,Year,SF,MF
0,2019,538581.0,291576.0
1,2020,543555.0,300630.0
2,2025,580644.0,357485.0
3,2030,628393.0,408817.0
4,2040,754928.0,490249.0
5,2050,860148.0,528906.0
