,parcel_id,county_id,parcel_acres,max_far,max_dua,year_built,was_redeveloped,was_developed,is_sf,is_mf,residential_units,job_spaces_added,Year
224205,227400,35,0.218142837,0.5,15.01368,2019.0,1,0,1.0,0.0,2.0,0.0,2019
252165,255372,35,0.318970144,0.5,10.381800000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
261547,264761,35,0.164022356,0.5,15.01368,2019.0,1,0,1.0,0.0,2.0,0.0,2019
278978,282197,35,0.12764208,1.0,15.01368,2019.0,1,0,1.0,0.0,2.0,0.0,2019
279413,282632,35,0.217819184,0.5,10.701240000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
294793,298016,35,0.215179488,0.5,10.701240000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
310404,313632,35,0.275024831,0.5,10.381800000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
319851,323081,35,0.312764764,0.5,9.438,2019.0,1,0,1.0,0.0,2.0,0.0,2019
392737,395979,35,0.174711764,0.5,10.701240000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
409531,412776,35,0.170689657,0.5,10.701240000000002,2019.0,1,0,1.0,0.0,2.0,0.0,2019
436902,440157,35,0.239237428,0.5,9.42348,2019.0,1,0,1.0,0.0,2.0,0.0,2019
267378,270595,35,0.224637717,0.5,13.73592,2019.0,1,0,1.0,0.0,3.0,0.0,2019
340342,343576,35,0.354768336,0.5,10.381800000000002,2019.0,1,0,1.0,0.0,3.0,0.0,2019
431513,434768,35,0.340478331,0.5,15.01368,2019.0,1,0,1.0,0.0,4.0,0.0,2019
165928,168903,57,2.7972151825214224,0.5,2.2,2019.0,1,0,1.0,0.0,6.0,0.0,2019
211456,214647,35,0.199699685,0.5,41.36748000000001,2019.0,1,0,0.0,1.0,2.0,0.0,2019
388510,391752,35,0.113842234,1.2100000000000002,24.200000000000003,2019.0,1,0,0.0,1.0,2.0,0.0,2019
192232,195272,57,0.215477556,1.4300000000000002,16.0,2019.0,1,0,0.0,1.0,3.0,0.0,2019
35649,38088,35,0.1905128460516669,1.573,22.0,2019.0,1,0,0.0,1.0,4.0,-7.0,2019
215825,219017,35,0.187303916,1.5972000000000002,22.0,2019.0,1,0,0.0,1.0,4.0,0.0,2019
449764,453024,35,0.097940005,3.850000000000001,46.2,2019.0,1,0,0.0,1.0,4.0,0.0,2019
47985,50491,35,0.4989089989100274,1.0,133.342,2019.0,1,0,0.0,1.0,8.0,-13.0,2019
35167,37606,35,0.5315607695097021,1.4520000000000002,22.0,2019.0,1,0,0.0,1.0,9.0,-13.0,2019
42923,45403,35,0.6800321984429669,2.07636,22.0,2019.0,1,0,0.0,1.0,15.0,-26.0,2019
