,building_id,cid,yr,TAZ
29950,766540,94,0,540.0
29951,766623,98,0,623.0
29952,766626,720,0,626.0
29953,766628,3612,0,628.0
29954,766629,1574,0,629.0
29955,766630,3184,0,630.0
29956,766631,7121,0,631.0
29957,766632,40,0,632.0
29958,766633,447,0,633.0
29959,766634,14182,0,634.0
29960,766647,233,0,647.0
31658,766540,94,2019,540.0
31659,766623,98,2019,623.0
31660,766626,720,2019,626.0
31661,766628,3612,2019,628.0
31662,766629,1574,2019,629.0
31663,766630,3184,2019,630.0
31664,766631,7121,2019,631.0
31665,766632,40,2019,632.0
31666,766633,448,2019,633.0
31667,766634,14182,2019,634.0
31668,766647,233,2019,647.0
31445,766527,30,2020,527.0
31446,766540,88,2020,540.0
31447,766541,1758,2020,541.0
31448,766623,95,2020,623.0
31449,766626,828,2020,626.0
31450,766628,3545,2020,628.0
31451,766629,1562,2020,629.0
31452,766630,3154,2020,630.0
31453,766631,7024,2020,631.0
31454,766632,36,2020,632.0
31455,766633,425,2020,633.0
31456,766634,14013,2020,634.0
31457,766647,220,2020,647.0
30531,766527,346,2025,527.0
30532,766540,89,2025,540.0
30533,766541,3511,2025,541.0
30534,766623,677,2025,623.0
30535,766626,827,2025,626.0
30536,766628,3606,2025,628.0
30537,766629,1571,2025,629.0
30538,766630,3996,2025,630.0
30539,766631,7776,2025,631.0
30540,766632,40,2025,632.0
30541,766633,448,2025,633.0
30542,766634,14155,2025,634.0
30543,766647,233,2025,647.0
29557,766527,346,2030,527.0
29558,766540,89,2030,540.0
29559,766541,3511,2030,541.0
29560,766623,2406,2030,623.0
29561,766626,822,2030,626.0
29562,766628,3595,2030,628.0
29563,766629,1858,2030,629.0
29564,766630,5000,2030,630.0
29565,766631,8572,2030,631.0
29566,766632,40,2030,632.0
29567,766633,481,2030,633.0
29568,766634,14239,2030,634.0
29569,766647,1420,2030,647.0
27211,766527,346,2040,527.0
27212,766540,89,2040,540.0
27213,766541,3508,2040,541.0
27214,766623,4304,2040,623.0
27215,766626,822,2040,626.0
27216,766628,3612,2040,628.0
27217,766629,2038,2040,629.0
27218,766630,5733,2040,630.0
27219,766631,9168,2040,631.0
27220,766632,40,2040,632.0
27221,766633,565,2040,633.0
27222,766634,14504,2040,634.0
27223,766647,3904,2040,647.0
24756,766527,345,2050,527.0
24757,766540,91,2050,540.0
24758,766541,3495,2050,541.0
24759,766623,4271,2050,623.0
24760,766626,822,2050,626.0
24761,766628,3612,2050,628.0
24762,766629,2025,2050,629.0
24763,766630,5725,2050,630.0
24764,766631,9160,2050,631.0
24765,766632,40,2050,632.0
24766,766633,565,2050,633.0
24767,766634,14504,2050,634.0
24768,766647,3876,2050,647.0
