,year,HAFBjobs,HAFBjobsChecked,dif,difpct
0,0,31305,31305,0,0.0
1,2019,31306,31305,1,3.1943778949049674e-05
2,2020,32778,32813,-35,-0.0010666504129460885
3,2025,37275,36822,453,0.012302427896366304
4,2030,42379,41884,495,0.01181835545793143
5,2040,48633,48099,534,0.011102101914800723
6,2050,48531,47997,534,0.011125695355959747
