zone_id,households,residential_units,population,res_price1,res_price2,avg_hh_income,hh_inc1,hh_inc2,hh_inc3,hh_inc4,jobs,jobs1,jobs2,jobs3,jobs4,jobs5,jobs6,jobs7,jobs8,jobs9,jobs10,job_spaces,non_residential_sqft,nonres_price3,nonres_price4,nonres_price5,COUNTY,pop_adjust
2859,23.0,24.0,65.15055557946738,26.762048317993123,52.62592516656153,60068.0,4.0,6.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,400.0,0.0,0.0,0.0,4,1
141,148.0,151.0,411.225306469701,64.87848349233599,72.2264604510205,60309.289475,43.0,25.0,46.0,34.0,976.0,9.0,0.0,194.0,2.0,736.0,12.0,23.0,0.0,0.0,0.0,988.0,904216.0,5.206872182011913,113.4196736181375,118.48648161469754,1,1
2865,29.0,30.0,93.59657280430524,30.366244050645903,58.40565821347284,57396.0,2.0,10.0,12.0,5.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,12.0,1.0,46.0,44850.0,5.965052608582671,0.0,0.0,4,1
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2860,1.0,1.0,1.8352269177314753,39.69139880393925,0.0,51914.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1950.0,5.85330817831455,0.0,0.0,4,1
1714,400.0,430.0,926.289860804266,44.64848351322181,76.4407805074867,51320.91196,79.0,133.0,123.0,65.0,544.0,126.0,0.0,59.0,28.0,8.0,105.0,141.0,0.0,48.0,29.0,644.0,318915.0,5.867153904793264,154.02700608400932,198.62668552625618,3,1
2870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
1413,1960.0,2051.0,7291.7614953010125,40.98434890717244,59.67975416109851,76808.0,128.0,337.0,843.0,652.0,473.0,102.0,0.0,146.0,77.0,2.0,7.0,104.0,0.0,23.0,12.0,520.0,242553.0,7.891666120496388,219.7024255569138,172.58648143148136,3,1
912,1629.0,1681.0,5053.629282202671,37.05658258478068,55.16183644899127,34701.68847,723.0,510.0,288.0,108.0,558.0,21.0,0.0,316.0,24.0,12.0,28.0,81.0,0.0,58.0,18.0,588.0,245794.0,6.059480513146611,145.95672824086532,138.4244785910312,3,1
1423,1670.0,1689.0,5890.278188735557,38.193427721100576,68.12373480403069,63408.522895,129.0,446.0,895.0,200.0,118.0,29.0,0.0,19.0,18.0,1.0,2.0,26.0,0.0,3.0,20.0,153.0,99292.0,5.786232574616722,158.54072611719687,0.0,3,1
2866,20.0,20.0,65.15055557946738,33.23328689451648,0.0,57494.335805,1.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
196,1411.0,1460.0,3752.430921536022,75.86291712926534,60.06278825845157,62275.020339999995,284.0,329.0,517.0,281.0,777.0,47.0,0.0,314.0,161.0,16.0,9.0,217.0,0.0,13.0,0.0,832.0,381797.0,5.125004168019036,157.91499208933186,143.38987902904663,1,1
417,1631.0,1710.0,4576.858579218067,59.26215517363751,67.50764260575511,79207.81818,188.0,172.0,633.0,638.0,840.0,151.0,0.0,48.0,420.0,32.0,29.0,122.0,0.0,30.0,8.0,860.0,508853.0,6.046076473087141,176.68322680930714,161.06433090770958,1,1
530,1692.0,1802.0,5153.507290279893,93.60505842540599,56.13171231950924,59354.11406,189.0,502.0,764.0,237.0,865.0,63.0,0.0,75.0,84.0,28.0,147.0,291.0,0.0,177.0,0.0,951.0,468230.30633546005,5.685424274946283,136.56739335259462,185.13410635546464,2,1
