year,number_of_population,cid
2010,304323,11
2010,1013395,35
2010,503812,49
2010,222446,57
2011,309937,11
2011,1027956,35
2011,517441,49
2011,224338,57
2012,315098,11
2012,1041639,35
2012,529357,49
2012,226799,57
2013,320991,11
2013,1051946,35
2013,538647,49
2013,228255,57
2014,326385,11
2014,1061856,35
2014,551167,49
2014,229841,57
2015,332607,11
2015,1075422,35
2015,569283,49
2015,232865,57
2016,339116,11
2016,1089411,35
2016,586583,49
2016,235679,57
2017,344692,11
2017,1107373,35
2017,606499,49
2017,240633,57
2018,350474,11
2018,1125815,35
2018,625492,49
2018,245866,57
2019,355949,11
2019,1143738,35
2019,643356,49
2019,250933,57
2020,361017,11
2020,1160882,35
2020,660911,49
2020,255622,57
2021,365892,11
2021,1177487,35
2021,678666,49
2021,260114,57
2022,370332,11
2022,1192250,35
2022,696239,49
2022,264249,57
2023,374390,11
2023,1205333,35
2023,713695,49
2023,268103,57
2024,378167,11
2024,1217152,35
2024,731136,49
2024,271656,57
2025,381716,11
2025,1228016,35
2025,748615,49
2025,274909,57
2026,385495,11
2026,1239613,35
2026,766262,49
2026,278217,57
2027,389369,11
2027,1250829,35
2027,784196,49
2027,281377,57
2028,393383,11
2028,1261802,35
2028,802629,49
2028,284436,57
2029,397513,11
2029,1272560,35
2029,821538,49
2029,287414,57
2030,401759,11
2030,1283264,35
2030,841062,49
2030,290361,57
2031,406083,11
2031,1293985,35
2031,861235,49
2031,293262,57
2032,410509,11
2032,1304798,35
2032,882046,49
2032,296123,57
2033,415025,11
2033,1315539,35
2033,903201,49
2033,298915,57
2034,419577,11
2034,1326159,35
2034,924582,49
2034,301624,57
2035,424157,11
2035,1336648,35
2035,946161,49
2035,304268,57
2036,428755,11
2036,1347057,35
2036,967894,49
2036,306852,57
2037,433360,11
2037,1357453,35
2037,989735,49
2037,309400,57
2038,437968,11
2038,1367858,35
2038,1011662,49
2038,311924,57
2039,442568,11
2039,1378345,35
2039,1033665,49
2039,314437,57
2040,481787,11
2040,1533729,35
2040,840809,49
2040,352453,57
2041,481787,11
2041,1533729,35
2041,880625,49
2041,352453,57
2042,481787,11
2042,1533729,35
2042,920440,49
2042,352453,57
2043,481787,11
2043,1533729,35
2043,960191,49
2043,352453,57
2044,481787,11
2044,1533729,35
2044,999699,49
2044,352453,57
2045,481787,11
2045,1533729,35
2045,1038932,49
2045,352453,57
2046,481787,11
2046,1533729,35
2046,1077886,49
2046,352453,57
2047,481787,11
2047,1533729,35
2047,1116595,49
2047,352453,57
2048,481787,11
2048,1533729,35
2048,1155097,49
2048,352453,57
2049,481787,11
2049,1533729,35
2049,1193383,49
2049,352453,57
2050,481787,11
2050,1533729,35
2050,1231526,49
2050,352453,57
2051,481787,11
2051,1533729,35
2051,1269499,49
2051,352453,57
2052,481787,11
2052,1533729,35
2052,1307271,49
2052,352453,57
2053,481787,11
2053,1533729,35
2053,1344777,49
2053,352453,57
2054,481787,11
2054,1533729,35
2054,1381982,49
2054,352453,57
2055,481787,11
2055,1533729,35
2055,1419009,49
2055,352453,57
2056,481787,11
2056,1533729,35
2056,1455972,49
2056,352453,57
2057,481787,11
2057,1533729,35
2057,1492868,49
2057,352453,57
2058,481787,11
2058,1533729,35
2058,1529761,49
2058,352453,57
2059,481787,11
2059,1533729,35
2059,1566711,49
2059,352453,57
2060,481787,11
2060,1533729,35
2060,1603719,49
2060,352453,57
