OID_,parcel_id,basebldg,Sliver,parcel_sqf,x,y,parcel_id_,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote
4,661090.000000000000000,1,0.000000000000000,13649.785779899999397,1536738,7307184,661090,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5,584583.000000000000000,0,0.000000000000000,5751.735009750000245,1534082,7304760,584583,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
8,640933.000000000000000,1,0.000000000000000,21987.820760200000223,1535583,7314243,640933,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
9,582264.000000000000000,0,0.000000000000000,312442.429431000025943,1537512,7315042,582264,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10,582244.000000000000000,0,0.000000000000000,299.834360684999979,1535166,7315738,582244,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
11,582223.000000000000000,1,0.000000000000000,240550.823921000002883,1534438,7316039,582223,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
12,675485.000000000000000,1,0.000000000000000,15580.955662200000006,1538845,7313335,675485,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
13,582322.000000000000000,0,0.000000000000000,12691.121885799999291,1539547,7311709,582322,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
14,631357.000000000000000,1,0.000000000000000,21847.320078400000057,1544999,7309251,631357,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
15,565951.000000000000000,1,0.000000000000000,9114.967480389999764,1543089,7309429,565951,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
16,565928.000000000000000,1,0.000000000000000,8046.175454569999602,1541800,7309656,565928,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
17,565975.000000000000000,1,0.000000000000000,31033.553177800000412,1543440,7309664,565975,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
18,565971.000000000000000,1,0.000000000000000,5229.544734580000295,1543232,7309428,565971,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
19,565799.000000000000000,1,0.000000000000000,20618.160914899999625,1544026,7309247,565799,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
20,621509.000000000000000,1,0.000000000000000,15777.976996100000179,1544497,7309695,621509,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
53,744122.000000000000000,1,0.000000000000000,27153.182664399999339,1540701,7304415,744122,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
54,661086.000000000000000,1,0.000000000000000,35444.257316299997910,1536544,7306433,661086,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
55,753024.000000000000000,1,0.000000000000000,21988.144746800000576,1533375,7304426,753024,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
56,674998.000000000000000,1,0.000000000000000,22034.100236400001450,1541390,7306155,674998,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
57,674985.000000000000000,1,0.000000000000000,21256.966300899999624,1541421,7306906,674985,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
61,643785.000000000000000,1,0.000000000000000,5331.690031340000132,1566078,7162021,643785,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
62,691419.000000000000000,1,0.000000000000000,15183.653423899999325,1565060,7155941,691419,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
63,646362.000000000000000,0,0.000000000000000,10083.593745699999999,1565823,7160872,646362,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
64,718346.000000000000000,1,0.000000000000000,9817.581981229999656,1562675,7156448,718346,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
65,701697.000000000000000,1,0.000000000000000,9470.515286510000806,1562333,7157429,701697,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
66,744498.000000000000000,1,0.000000000000000,9944.190245910000158,1561744,7155441,744498,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
67,714338.000000000000000,1,0.000000000000000,319.550187261000019,1564395,7157819,714338,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
68,638704.000000000000000,1,0.000000000000000,13491.752550900000642,1564172,7156946,638704,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
70,711281.000000000000000,1,0.000000000000000,228545.585978999995859,1584263,7176331,711281,2,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
71,601343.000000000000000,1,0.000000000000000,228307.715136000013445,1575684,7220019,601343,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
72,602346.000000000000000,0,0.000000000000000,21362.011429300000600,1565168,7212025,602346,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
74,603450.000000000000000,1,0.000000000000000,146371.353953999991063,1569725,7204882,603450,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
75,622392.000000000000000,1,0.000000000000000,230281.738630999985617,1572020,7210907,622392,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
76,602135.000000000000000,1,0.000000000000000,239538.873014000011608,1572752,7210893,602135,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
77,602192.000000000000000,1,0.000000000000000,27383.302964499998780,1576621,7213170,602192,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
78,602589.000000000000000,0,0.000000000000000,40792.935339099996781,1584697,7208457,602589,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
79,602430.000000000000000,1,0.000000000000000,43535.625531700003194,1581379,7210253,602430,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
80,603120.000000000000000,0,0.000000000000000,93595.930571300006704,1583628,7204923,603120,6,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
81,619652.000000000000000,0,0.000000000000000,267200.140266000002157,1582413,7207495,619652,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
82,603241.000000000000000,1,0.000000000000000,198456.636949000007007,1576702,7204903,603241,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
83,601849.000000000000000,1,0.000000000000000,206697.086497000011150,1586700,7217602,601849,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
85,608261.000000000000000,1,0.000000000000000,1113576.340970000019297,1558486,7182725,608261,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
86,691813.000000000000000,1,0.000000000000000,10203.629013399999167,1561751,7161267,691813,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
87,609026.000000000000000,1,0.000000000000000,9993.444597519999661,1563167,7163002,609026,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
88,578936.000000000000000,1,0.000000000000000,5995.928902679999737,1562669,7161238,578936,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
89,578935.000000000000000,1,0.000000000000000,16147.090898300000845,1562355,7161522,578935,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
90,623538.000000000000000,1,0.000000000000000,1648.870200609999983,1562097,7162425,623538,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
91,578820.000000000000000,1,0.000000000000000,13191.107038599999214,1558821,7161001,578820,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
92,750704.000000000000000,1,0.000000000000000,11248.431088900000759,1551241,7156188,750704,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
93,726133.000000000000000,1,0.000000000000000,12439.582026800000676,1550160,7153311,726133,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
94,740746.000000000000000,0,0.000000000000000,21768.171060799999395,1526702,7149794,740746,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
95,578830.000000000000000,0,0.000000000000000,35594.686527099998784,1527925,7150501,578830,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
96,618283.000000000000000,1,0.000000000000000,10018.620147800000268,1558180,7164060,618283,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
97,634042.000000000000000,1,0.000000000000000,10111.435183899999174,1557920,7163481,634042,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
98,690630.000000000000000,1,0.000000000000000,12376.212161499999638,1559305,7164410,690630,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
99,617963.000000000000000,1,0.000000000000000,12462.918403800000306,1561585,7163982,617963,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
100,617917.000000000000000,1,0.000000000000000,12146.869924200000241,1561450,7164070,617917,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
101,579130.000000000000000,1,0.000000000000000,13954.697178099999292,1558768,7162466,579130,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
102,618249.000000000000000,1,0.000000000000000,13604.006093899999541,1560957,7164206,618249,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
108,608522.000000000000000,0,0.000000000000000,121606.279481999998097,1557858,7170276,608522,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
109,738799.000000000000000,1,0.000000000000000,53030.031917599997541,1470757,7289966,738799,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
110,603496.000000000000000,0,0.000000000000000,24805.108884599998419,1567434,7197267,603496,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
111,603502.000000000000000,0,0.000000000000000,18716.581603099999484,1569012,7197234,603502,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
114,615686.000000000000000,1,0.000000000000000,43533.006705300002068,1585206,7176440,615686,2,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
115,735616.000000000000000,0,0.000000000000000,228560.001828999986174,1567519,7214373,735616,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
116,601381.000000000000000,0,0.000000000000000,165128.559907999995630,1583395,7212848,601381,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
117,602123.000000000000000,1,0.000000000000000,597272.587751999963075,1582801,7214132,602123,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
118,601529.000000000000000,1,0.000000000000000,271543.041718999971636,1576181,7225414,601529,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
119,608176.000000000000000,1,0.000000000000000,305035.731753000000026,1556958,7187075,608176,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
120,740809.000000000000000,0,0.000000000000000,32646.139407700000447,1527976,7149844,740809,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
145,579464.000000000000000,1,0.000000000000000,32842.094093599996995,1472005,7288699,579464,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
146,579465.000000000000000,1,0.000000000000000,9274.812851400000000,1471945,7288575,579465,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
147,738802.000000000000000,0,0.000000000000000,84337.016841899996507,1471668,7287055,738802,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
148,579421.000000000000000,1,0.000000000000000,43712.959395600002608,1470781,7287406,579421,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
149,579425.000000000000000,1,0.000000000000000,68814.910371399993892,1470358,7287400,579425,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
150,738794.000000000000000,0,0.000000000000000,27405.510838400001376,1471353,7290485,738794,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
151,609918.000000000000000,0,0.000000000000000,115800.551130000007106,1569256,7193765,609918,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
153,603445.000000000000000,0,0.000000000000000,27204.360156499998993,1566500,7202323,603445,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
154,603153.000000000000000,1,0.000000000000000,87069.236615200003143,1575343,7200512,603153,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
155,622545.000000000000000,1,0.000000000000000,218537.007267999986652,1556133,7191534,622545,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
156,609662.000000000000000,1,0.000000000000000,710721.265610000002198,1571257,7192642,609662,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
157,603110.000000000000000,1,0.000000000000000,48553.612991200003307,1582290,7200811,603110,12,0,2025,1,1,0,1,1,0,0,0,Utah County,MAG
158,747627.000000000000000,1,0.000000000000000,298179.085136000008788,1565691,7193527,747627,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
159,607820.000000000000000,1,0.000000000000000,2287887.010919999796897,1558481,7195714,607820,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
160,603400.000000000000000,0,0.000000000000000,22278.907378299998527,1573670,7203774,603400,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
161,578541.000000000000000,1,0.000000000000000,20200.553005500001746,1560806,7158946,578541,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
162,657729.000000000000000,1,0.000000000000000,10193.850625499999296,1561459,7158644,657729,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
163,578753.000000000000000,1,0.000000000000000,28340.516816300001665,1561949,7158346,578753,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
164,578521.000000000000000,1,0.000000000000000,13889.256985100000747,1560886,7158298,578521,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
165,607523.000000000000000,0,0.000000000000000,228521.691584999993211,1546330,7216564,607523,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
166,584319.000000000000000,0,0.000000000000000,914.001305631000037,1539238,7311385,584319,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
167,582357.000000000000000,0,0.000000000000000,127294.235860000000685,1538564,7314571,582357,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
168,727886.000000000000000,1,0.000000000000000,14622.044539300000906,1544755,7309052,727886,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
169,678342.000000000000000,1,0.000000000000000,12392.951430299999629,1546538,7311469,678342,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
170,583862.000000000000000,0,0.000000000000000,274.850682957999993,1544977,7311302,583862,8,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
171,565962.000000000000000,1,0.000000000000000,10528.388547799999287,1542896,7309687,565962,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
