OID_,parcel_id,basebldg,Sliver,parcel_sqf,x,y,parcel_id_,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote
172,565792.000000000000000,1,0.000000000000000,5486.991459589999977,1543819,7309288,565792,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
173,565976.000000000000000,1,0.000000000000000,7218.653622849999920,1543935,7309450,565976,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
212,752941.000000000000000,1,0.000000000000000,21991.643130299999029,1534754,7312404,752941,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
213,582273.000000000000000,0,0.000000000000000,1799.048405450000018,1535436,7311639,582273,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
214,734633.000000000000000,1,0.000000000000000,21986.194334499999968,1533466,7311531,734633,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
215,663075.000000000000000,1,0.000000000000000,32183.888332599999558,1532618,7313942,663075,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
216,582204.000000000000000,1,0.000000000000000,43540.753258999997342,1532594,7314276,582204,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
217,733542.000000000000000,1,0.000000000000000,23776.024203000000853,1537629,7311773,733542,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
218,584591.000000000000000,0,0.000000000000000,2353.661691729999802,1533960,7304910,584591,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
219,721829.000000000000000,1,0.000000000000000,22083.862861000001431,1538586,7303994,721829,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
220,721837.000000000000000,1,0.000000000000000,21988.120943599999009,1539433,7304055,721837,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
221,584388.000000000000000,0,0.000000000000000,78364.695460999995703,1542032,7306843,584388,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
222,605239.000000000000000,0,0.000000000000000,190783.929868000006536,1604829,7219953,605239,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
223,605269.000000000000000,1,0.000000000000000,81750.533259799994994,1607227,7217144,605269,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
224,603609.000000000000000,0,0.000000000000000,13490.037078699999256,1587081,7197757,603609,12,0,2025,1,1,0,1,1,0,0,0,Utah County,MAG
225,603004.000000000000000,0,0.000000000000000,50203.614657400001306,1587361,7201087,603004,8,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
226,603626.000000000000000,0,0.000000000000000,11990.958856999999625,1591590,7199009,603626,3,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
227,607271.000000000000000,0,0.000000000000000,216445.616536999994423,1598855,7202075,607271,4,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
228,607266.000000000000000,0,0.000000000000000,11490.954931199999919,1598972,7201796,607266,4,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
229,644055.000000000000000,1,0.000000000000000,5988.101973019999605,1566306,7162461,644055,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
230,613188.000000000000000,0,0.000000000000000,7494.706649920000018,1564805,7156469,613188,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
231,716127.000000000000000,1,0.000000000000000,20256.301132699998561,1565237,7158382,716127,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
232,716126.000000000000000,1,0.000000000000000,20386.882191699998657,1565109,7158382,716126,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
233,646873.000000000000000,0,0.000000000000000,12049.915494799999578,1566071,7160643,646873,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
234,691214.000000000000000,1,0.000000000000000,10529.631955200000448,1566380,7158057,691214,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
235,612737.000000000000000,0,0.000000000000000,5369.666916260000107,1563678,7157416,612737,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
236,694659.000000000000000,1,0.000000000000000,17835.015396999999211,1560511,7154441,694659,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
237,716632.000000000000000,1,0.000000000000000,13289.279697699999815,1560784,7155142,716632,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
238,716634.000000000000000,1,0.000000000000000,17386.743057200001203,1560710,7155242,716634,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
239,714326.000000000000000,1,0.000000000000000,14797.567407099999400,1563918,7157720,714326,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
240,611652.000000000000000,1,0.000000000000000,108830.915835000007064,1586288,7178066,611652,2,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
241,607567.000000000000000,1,0.000000000000000,228551.726033000013558,1560694,7210944,607567,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
242,735605.000000000000000,0,0.000000000000000,228760.784444999997504,1566700,7213586,735605,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
243,602366.000000000000000,1,0.000000000000000,435336.719077999994624,1568639,7208070,602366,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
244,745736.000000000000000,0,0.000000000000000,246966.380685000010999,1571119,7206709,745736,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
245,598445.000000000000000,0,0.000000000000000,1334877.789199999999255,1574017,7229791,598445,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
246,601867.000000000000000,1,0.000000000000000,229351.525114999996731,1588105,7220142,601867,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
247,602044.000000000000000,0,0.000000000000000,178742.280235000012908,1587724,7213336,602044,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
248,706285.000000000000000,0,0.000000000000000,21067.248322700001154,1582100,7210575,706285,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
249,601469.000000000000000,0,0.000000000000000,294897.204611000022851,1583138,7225777,601469,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
250,602615.000000000000000,0,0.000000000000000,777026.936191000044346,1585744,7206259,602615,6,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
252,717150.000000000000000,0,0.000000000000000,13223.381215100000190,1582172,7210616,717150,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
253,714093.000000000000000,1,0.000000000000000,254893.044277999986662,1591302,7218386,714093,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
254,602572.000000000000000,1,0.000000000000000,239433.052299000002677,1581591,7206269,602572,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
255,641087.000000000000000,0,0.000000000000000,348309.891701999993529,1573985,7188443,641087,20,0,2030,0,1,0,0,0,0,0,0,Utah County,MAG
256,608169.000000000000000,0,0.000000000000000,283273.822982000012416,1556939,7188514,608169,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
257,663453.000000000000000,0,0.000000000000000,237489.800255000009201,1566653,7186077,663453,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
258,719934.000000000000000,1,0.000000000000000,228599.593667999986792,1563167,7182365,719934,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
259,578943.000000000000000,1,0.000000000000000,21023.162526600001001,1561917,7161573,578943,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
260,608674.000000000000000,1,0.000000000000000,187897.606865000008838,1562370,7162940,608674,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
261,698161.000000000000000,1,0.000000000000000,10262.214369400000578,1561750,7163304,698161,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
262,578870.000000000000000,1,0.000000000000000,16488.803411600001709,1561781,7160314,578870,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
263,578958.000000000000000,1,0.000000000000000,8038.318473889999950,1561158,7161656,578958,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
264,612787.000000000000000,1,0.000000000000000,16761.428153600001679,1556891,7161605,612787,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
265,578971.000000000000000,1,0.000000000000000,12366.601505299999189,1560967,7161572,578971,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
266,578976.000000000000000,1,0.000000000000000,8038.693639619999885,1560927,7161659,578976,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
267,635801.000000000000000,1,0.000000000000000,9502.360679499999605,1560197,7157211,635801,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
268,613095.000000000000000,0,0.000000000000000,16938.557689599998412,1557472,7155884,613095,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
269,613075.000000000000000,0,0.000000000000000,304663.554332999978215,1555903,7155771,613075,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
270,579291.000000000000000,1,0.000000000000000,21773.033896500000992,1529156,7151685,579291,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
271,740834.000000000000000,1,0.000000000000000,9615.777617420000752,1528081,7150017,740834,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
272,740825.000000000000000,1,0.000000000000000,32705.507585499999550,1527626,7149406,740825,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
273,740781.000000000000000,1,0.000000000000000,9258.991915560000052,1526064,7149093,740781,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
274,726126.000000000000000,0,0.000000000000000,20824.370514499998535,1550274,7153919,726126,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
275,750959.000000000000000,1,0.000000000000000,33452.516793700000562,1549807,7154965,750959,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
276,750765.000000000000000,1,0.000000000000000,8289.413257879999946,1551414,7155896,750765,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
277,744308.000000000000000,1,0.000000000000000,11164.982249500000762,1550322,7151158,744308,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
278,750911.000000000000000,1,0.000000000000000,33011.042193200002657,1549947,7155359,750911,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
279,740620.000000000000000,1,0.000000000000000,7500.308504800000264,1527173,7151940,740620,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
280,741410.000000000000000,0,0.000000000000000,17605.505408000000898,1527039,7149511,741410,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
281,743522.000000000000000,1,0.000000000000000,8428.700075529999594,1551008,7152292,743522,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
282,743528.000000000000000,0,0.000000000000000,8990.606965369999671,1550753,7152337,743528,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
283,608679.000000000000000,0,0.000000000000000,19265.537108799999260,1560965,7162589,608679,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
284,608915.000000000000000,0,0.000000000000000,304931.411628999980167,1558654,7165711,608915,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
285,690872.000000000000000,1,0.000000000000000,10949.034197299999505,1560332,7164475,690872,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
286,579123.000000000000000,1,0.000000000000000,12673.521371500000896,1560295,7162453,579123,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
287,618912.000000000000000,1,0.000000000000000,11371.794272499999352,1558247,7164762,618912,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
288,717423.000000000000000,1,0.000000000000000,13663.044622900000832,1558576,7163951,717423,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
289,690417.000000000000000,1,0.000000000000000,10998.087287799999103,1559181,7163689,690417,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
290,618254.000000000000000,1,0.000000000000000,12914.111403099999734,1560634,7164094,618254,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
294,603516.000000000000000,0,0.000000000000000,1378072.503539999946952,1573483,7199349,603516,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
295,734324.000000000000000,1,0.000000000000000,218094.179108000011183,1566639,7195127,734324,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
297,751634.000000000000000,1,0.000000000000000,22899.176363400001719,1544578,7306207,751634,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
298,584737.000000000000000,0,0.000000000000000,16754.349813000000722,1543341,7304869,584737,4,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
300,607468.000000000000000,1,0.000000000000000,207123.568196000007447,1608118,7198139,607468,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
301,602141.000000000000000,0,0.000000000000000,228649.078829000005499,1573967,7207645,602141,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
302,601836.000000000000000,0,0.000000000000000,69064.969659800000954,1588191,7218453,601836,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
303,679836.000000000000000,1,0.000000000000000,236052.613848999986658,1576303,7224473,679836,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
304,601848.000000000000000,1,0.000000000000000,1131308.440639999927953,1587102,7217885,601848,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
305,601763.000000000000000,1,0.000000000000000,766166.602201999980025,1581809,7218759,601763,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
306,601746.000000000000000,1,0.000000000000000,229143.521360999991884,1581156,7219545,601746,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
