OID_,parcel_id,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote
3,661090,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
6,640933,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
7,582223,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
8,675485,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
44,744122,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
45,661086,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
46,753024,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
47,674998,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
48,674985,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
50,643785,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
51,691419,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
52,718346,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
53,701697,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
54,744498,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
55,714338,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
56,638704,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
57,711281,2.5,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
58,601343,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
60,603450,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
61,622392,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
62,602135,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
63,602192,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
64,602430,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
65,603241,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
66,601849,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
67,608261,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
68,691813,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
69,609026,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
70,578936,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
71,578935,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
