year,in_new_res_units,out_new_res_units,in_new_sf_units,out_new_sf_units,in_new_mf_units,out_new_mf_units,in_new_jobs,out_new_jobs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs
2020,2697,10862,104,7675,2593,3187,-31959,-35836,-10343,-7156,-382,-2424,-21234,-26256
2021,2153,7466,201,4495,1952,2971,46610,54893,10870,7810,2131,11317,33609,35766
2022,3687,10955,119,7214,3568,3741,29438,35702,-2106,-1617,1394,4843,30150,32476
2023,7466,6790,6,4093,7460,2697,23893,22833,4750,481,1061,7188,18082,15164
2024,6748,9144,124,6550,6624,2594,14449,18136,1510,194,565,4453,12374,13489
2025,5636,11654,74,9163,5562,2491,8936,15075,-74,418,1034,3825,7976,10832
2026,6203,13622,51,8972,6152,4650,7168,13482,468,748,975,3110,5725,9624
2027,6581,13135,51,10276,6530,2859,7638,12353,612,812,581,2267,6445,9274
2028,6942,13126,54,9181,6888,3945,7127,12606,895,941,-158,1222,6390,10443
2029,6234,13993,43,9135,6191,4858,10495,15651,1614,1555,-148,2146,9029,11950
2030,4597,13756,83,10405,4514,3351,5835,9596,2489,2000,-102,800,3448,6796
2031,7006,14576,18,9411,6988,5165,3612,7681,187,579,-174,1016,3599,6086
2032,6290,14995,77,9919,6213,5076,6123,10929,1670,1654,-630,1862,5083,7413
2033,5928,15970,42,11554,5886,4416,4506,10793,1479,1958,-373,973,3400,7862
2034,7294,15372,42,10698,7252,4674,8082,14266,1846,2053,-537,1828,6773,10385
2035,5013,15059,77,12208,4936,2851,5787,11103,1841,2043,-1680,848,5626,8212
2036,5721,16637,56,13170,5665,3467,8367,12005,1660,2039,-387,-40,7094,10006
2037,6347,14803,85,11979,6262,2824,7919,13778,1750,2755,-484,-36,6653,11059
2038,6180,16354,37,14695,6143,1659,7583,12534,1076,1996,-423,-22,6930,10560
2039,5046,16938,29,15578,5017,1360,8133,11976,1767,2037,-668,127,7034,9812
2040,4825,13664,11,12764,4814,900,8652,12388,1337,2131,-476,-336,7791,10593
2041,5487,19615,169,18204,5318,1411,7842,11849,1821,2703,-467,-178,6488,9324
2042,6561,17166,3,13177,6558,3989,7250,13561,1557,2567,-366,819,6059,10175
2043,4197,13584,121,12071,4076,1513,8148,12850,1890,2933,-187,485,6445,9432
2044,4495,11619,4,10269,4491,1350,7738,14040,1651,2996,-339,751,6426,10293
2045,3447,14555,6,12409,3441,2146,7788,13753,2023,3233,-73,488,5838,10032
2046,4129,37083,16,35636,4113,1447,6962,14140,1308,3450,-423,558,6077,10132
2047,3220,8882,24,7754,3196,1128,6679,13413,1895,3664,-547,65,5331,9684
2048,3718,8600,18,7241,3700,1359,6673,13031,1836,4101,-263,-321,5100,9251
2049,2426,5694,8,4665,2418,1029,7322,12062,2080,3387,-269,-458,5511,9133
2050,1398,6400,0,4528,1398,1872,7547,9897,1670,2782,-251,-851,6128,7966
