zone_id,zone_id,households,residential_units,population,res_price1,res_price2,avg_hh_income,hh_inc1,hh_inc2,hh_inc3,hh_inc4,jobs,jobs1,jobs2,jobs3,jobs4,jobs5,jobs6,jobs7,jobs8,jobs9,jobs10,job_spaces,non_residential_sqft,nonres_price3,nonres_price4,nonres_price5,COUNTY
2859,2859,23.0,24.0,70.0,27.13084594845439,54.79422331095862,54951.0963,5.0,6.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,400.0,0.0,0.0,0.0,49
141,141,140.0,151.0,378.0,65.65954303470127,74.40792858108655,52196.889469999995,47.0,24.0,36.0,33.0,924.0,2.0,0.0,176.0,0.0,725.0,3.0,18.0,0.0,0.0,0.0,988.0,904216.0,5.194476739429976,112.79581745771416,121.22937057099293,11
2865,2865,30.0,30.0,106.0,32.02088315101525,60.141137181706284,55417.122985,4.0,10.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44850.0,6.040000362139797,0.0,0.0,49
1914,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
2860,2860,1.0,1.0,2.0,38.966666873480634,0.0,51914.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1950.0,5.904947556882792,0.0,0.0,49
1714,1714,369.0,398.0,871.0,46.54953297167955,81.36382740994257,51511.69601,78.0,116.0,100.0,75.0,447.0,86.0,0.0,52.0,25.0,8.0,95.0,116.0,0.0,39.0,26.0,648.0,321447.0,5.904647113244303,154.48687219123516,200.97368307998045,57
2870,2870,4.0,11.0,20.0,12.641575486814762,0.0,22517.98898,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
1413,1413,1985.0,2048.0,7435.0,43.63461303951598,65.86849927004297,80057.56923,185.0,314.0,688.0,798.0,359.0,89.0,0.0,111.0,46.0,1.0,5.0,87.0,0.0,9.0,11.0,520.0,242553.0,8.0312279902705,227.4487564152839,176.23602804797494,57
912,912,1544.0,1681.0,4886.0,36.83871192505439,59.539448489531864,33049.22711,742.0,459.0,228.0,115.0,505.0,21.0,0.0,305.0,16.0,12.0,27.0,66.0,0.0,40.0,18.0,588.0,245794.0,6.167063744901843,146.5461227504607,130.05645538282545,57
1423,1423,1601.0,1689.0,5766.0,38.82220100245079,71.07250262490983,64063.18316,164.0,402.0,742.0,293.0,91.0,28.0,0.0,10.0,16.0,0.0,2.0,17.0,0.0,1.0,17.0,153.0,99292.0,5.873124809229377,164.0083230881457,0.0,57
2866,2866,20.0,21.0,69.0,34.07296845822532,0.0,56693.6014,2.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
196,196,1278.0,1428.0,3440.0,77.04558565604768,62.9547163066917,58434.72742000001,348.0,244.0,415.0,271.0,661.0,41.0,0.0,251.0,147.0,2.0,0.0,207.0,0.0,13.0,0.0,832.0,381797.0,5.131707467261972,163.32499627705883,151.88150166838946,11
417,417,1484.0,1708.0,4156.0,62.10845442693853,70.4476125436942,79867.27273,231.0,147.0,494.0,612.0,779.0,149.0,0.0,37.0,408.0,12.0,23.0,112.0,0.0,30.0,8.0,860.0,508853.0,6.080367012357523,179.96662041529913,165.42160598150315,11
530,530,1506.0,1682.0,4705.0,99.50686189214758,60.80364821785198,55731.5625,217.0,457.0,592.0,240.0,700.0,56.0,0.0,61.0,69.0,26.0,112.0,212.0,0.0,164.0,0.0,846.0,418708.0,5.89400076290552,142.7427547192865,173.43482423461145,35
933,933,1417.0,1535.0,5458.0,35.482891573027516,0.0,54438.83077000001,167.0,547.0,433.0,270.0,641.0,0.0,0.0,269.0,0.0,356.0,10.0,3.0,0.0,0.0,3.0,762.0,656029.0,5.770973034507597,141.16068286998475,137.56882534329227,57
467,467,1338.0,1488.0,4655.0,82.04201093199895,38.56742637790099,62164.661685,156.0,357.0,553.0,272.0,368.0,13.0,0.0,142.0,86.0,2.0,59.0,46.0,0.0,17.0,3.0,568.0,307737.0,0.0,113.55725666591196,162.81052973090772,35
1789,1789,1.0,1.0,7.0,54.93058813642721,0.0,60612.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
650,650,1372.0,1486.0,4573.0,85.70190380092392,67.76501656646339,88027.06617,134.0,240.0,341.0,657.0,250.0,20.0,0.0,9.0,11.0,0.0,8.0,89.0,0.0,84.0,29.0,370.0,167158.0,5.557244561653533,141.74065563101186,140.94038660888987,35
