zone_id,zone_id,households,residential_units,population,res_price1,res_price2,avg_hh_income,hh_inc1,hh_inc2,hh_inc3,hh_inc4,jobs,jobs1,jobs2,jobs3,jobs4,jobs5,jobs6,jobs7,jobs8,jobs9,jobs10,job_spaces,non_residential_sqft,nonres_price3,nonres_price4,nonres_price5,COUNTY
1565,1565,1228.0,1325.0,4642.0,42.783614246871245,90.21905099339622,55559.0,114.0,483.0,408.0,223.0,241.0,1.0,0.0,101.0,0.0,0.0,57.0,69.0,0.0,13.0,0.0,332.0,116200.0,0.0,0.0,0.0,57
1688,1688,1334.0,1387.0,3799.0,37.58700824804631,80.83824542946286,86125.0,187.0,100.0,446.0,601.0,778.0,71.0,0.0,83.0,96.0,0.0,16.0,263.0,0.0,233.0,16.0,1033.0,464050.0,5.893988419532415,153.31775627526108,188.27022989649387,57
1420,1420,1406.0,1590.0,5370.0,43.617554941568386,75.53649788238613,70915.0,48.0,301.0,724.0,333.0,26.0,0.0,0.0,3.0,4.0,0.0,8.0,11.0,0.0,0.0,0.0,47.0,27770.0,0.0,0.0,148.28216433496712,57
2119,2119,795.0,803.0,2731.0,52.991765924863785,77.6698540776963,100789.0,29.0,65.0,216.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
1535,1535,1195.0,1285.0,4114.0,43.351713727538105,89.47553230342928,77428.0,74.0,192.0,436.0,493.0,131.0,0.0,0.0,106.0,1.0,0.0,17.0,0.0,0.0,7.0,0.0,193.0,90756.0,0.0,0.0,190.79921253007004,57
1701,1701,1317.0,1374.0,3934.0,41.62895761070706,48.771085461401306,77211.0,142.0,182.0,549.0,444.0,895.0,85.0,0.0,212.0,112.0,3.0,3.0,186.0,0.0,294.0,0.0,1104.0,432156.0,0.0,152.1278360996014,180.61179610777617,57
499,499,1322.0,1326.0,4995.0,95.0979393969411,30.135520329943915,65495.0,143.0,328.0,669.0,182.0,441.0,0.0,0.0,24.0,112.0,9.0,159.0,75.0,0.0,38.0,24.0,524.0,337004.0,6.322432872703332,119.62931556188302,164.84552576845067,35
641,641,1601.0,1654.0,4604.0,103.12741242893136,86.970485205558,50805.0,367.0,520.0,497.0,217.0,4598.0,4.0,0.0,298.0,69.0,41.0,2386.0,1158.0,0.0,86.0,556.0,4670.0,3388188.0,6.649976854821217,144.6605217361089,189.32682653075037,35
543,543,1389.0,1533.0,4627.0,96.21551681328704,53.4331498920713,68227.83546,69.0,298.0,658.0,364.0,372.0,21.0,0.0,0.0,121.0,7.0,20.0,99.0,0.0,68.0,36.0,388.0,220911.0,5.247176934078264,148.22971695324003,158.46469933645645,35
535,535,1345.0,1376.0,4478.0,95.6059290780488,51.50710018025275,77429.0,58.0,240.0,539.0,508.0,801.0,25.0,0.0,163.0,471.0,0.0,2.0,85.0,0.0,49.0,6.0,996.0,540625.0,5.286052641724284,163.36517601447844,182.95580015610236,35
1415,1415,1222.0,1367.0,4491.0,45.38691398980357,61.91748357821939,85472.050545,46.0,210.0,454.0,512.0,185.0,0.0,0.0,104.0,6.0,0.0,0.0,66.0,0.0,0.0,9.0,248.0,123307.0,0.0,0.0,176.94494706826595,57
427,427,1029.0,1191.0,3791.0,78.72003980525824,36.41324960608757,84596.30129,54.0,134.0,402.0,439.0,57.0,7.0,0.0,0.0,0.0,0.0,12.0,38.0,0.0,0.0,0.0,75.0,43965.0,0.0,143.28872239632133,133.911377095322,35
